metric,value
model,seanet_acp__sea_mstcn_sep__sea_adaptive_classwise
millet85_datasets,85
mean_acc_ours,0.8134
mean_acc_millet,0.8445
acc_win_tie_loss,25/17/43
mean_loss_ours,0.5354
mean_loss_millet,1.2241
loss_win_tie_loss,57/1/27
mean_aopcr_ours,0.891
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,4/1/80
overall_ucr_datasets,128
overall_mean_acc,0.8145
overall_mean_loss,0.5717
overall_mean_aopcr,1.0711
webtraffic_acc,0.918
webtraffic_ndcg,0.6188
params,183934
model_size_mb,3.191
