dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
ProximalPhalanxOutlineAgeGroup,0.8293,0.8537,-0.0244,loss,0.4186,1.2906,-0.872,win,-0.2516,5.6483,-5.8999,loss,61222,1.5006
ProximalPhalanxOutlineCorrect,0.9003,0.923,-0.0227,loss,0.2997,0.5448,-0.2451,win,0.3057,-3.5363,3.842,win,61148,1.5003
ProximalPhalanxTW,0.8,0.76,0.04,win,0.5496,2.0198,-1.4702,win,-0.8841,5.6975,-6.5816,loss,61444,1.5014
RefrigerationDevices,0.4693,0.5099,-0.0406,loss,1.89,6.1414,-4.2514,win,0.2848,4.2486,-3.9638,loss,61222,1.5006
ScreenType,0.4907,0.576,-0.0853,loss,1.1919,3.6402,-2.4483,win,0.3733,4.2157,-3.8424,loss,61222,1.5006
ShapeletSim,1.0,0.9089,0.0911,win,0.0604,0.2342,-0.1738,win,2.4649,3.429,-0.9641,loss,61148,1.5003
ShapesAll,0.855,0.9283,-0.0733,loss,0.6571,0.4908,0.1663,loss,2.2301,9.5598,-7.3297,loss,65440,1.5166
SmallKitchenAppliances,0.8027,0.7819,0.0208,win,0.5213,2.273,-1.7517,win,1.089,3.9346,-2.8456,loss,61222,1.5006
SonyAIBORobotSurface1,0.787,0.9338,-0.1468,loss,0.4133,0.3641,0.0492,loss,-0.4768,3.2614,-3.7382,loss,61148,1.5003
SonyAIBORobotSurface2,0.8541,0.8269,0.0272,win,0.323,1.433,-1.11,win,-0.1275,2.9596,-3.0871,loss,61148,1.5003
StarLightCurves,0.9703,0.9769,-0.0066,loss,0.1368,0.2046,-0.0678,win,1.6882,8.4155,-6.7273,loss,61222,1.5006
Strawberry,0.9595,0.9746,-0.0151,loss,0.131,0.1629,-0.0319,win,0.1646,6.2246,-6.06,loss,61148,1.5003
SwedishLeaf,0.9328,0.967,-0.0342,loss,0.2571,0.1892,0.0679,loss,1.1669,4.1636,-2.9967,loss,62110,1.5039
Symbols,0.9437,0.9576,-0.0139,loss,0.257,0.1578,0.0992,loss,1.1672,2.5618,-1.3946,loss,61444,1.5014
SyntheticControl,0.9933,0.9973,-0.004,tie,0.128,0.0052,0.1228,loss,0.3954,3.3016,-2.9062,loss,61444,1.5014
ToeSegmentation1,0.9342,0.9632,-0.029,loss,0.1921,0.1864,0.0057,tie,0.2384,2.1806,-1.9422,loss,61148,1.5003
ToeSegmentation2,0.9538,0.9092,0.0446,win,0.2039,0.5003,-0.2964,win,0.4184,3.2069,-2.7885,loss,61148,1.5003
Trace,1.0,1.0,0.0,tie,0.0819,0.0,0.0819,loss,1.3993,4.9221,-3.5228,loss,61296,1.5009
TwoLeadECG,0.9719,0.9993,-0.0274,loss,0.1207,0.0066,0.1141,loss,0.9444,4.762,-3.8176,loss,61148,1.5003
TwoPatterns,1.0,1.0,0.0,tie,0.0829,0.0,0.0829,loss,3.0749,12.1597,-9.0848,loss,61296,1.5009
UWaveGestureLibraryAll,0.9654,0.9447,0.0207,win,0.2162,0.3434,-0.1272,win,2.029,8.0814,-6.0524,loss,61592,1.502
UWaveGestureLibraryX,0.8046,0.8099,-0.0053,loss,0.6181,1.5956,-0.9775,win,1.6998,4.3044,-2.6046,loss,61592,1.502
UWaveGestureLibraryY,0.7306,0.7528,-0.0222,loss,0.8259,1.8851,-1.0592,win,1.5475,4.101,-2.5535,loss,61592,1.502
UWaveGestureLibraryZ,0.7111,0.7432,-0.0321,loss,0.7801,1.9758,-1.1957,win,1.6164,4.6466,-3.0302,loss,61592,1.502
Wafer,0.9977,0.998,-0.0003,tie,0.0752,0.017,0.0582,loss,0.5022,1.1361,-0.6339,loss,61148,1.5003
Wine,0.5,0.8185,-0.3185,loss,0.6912,0.9499,-0.2587,win,2.2709,26.9638,-24.6929,loss,61148,1.5003
WordSynonyms,0.7445,0.7417,0.0028,tie,1.0955,1.8361,-0.7406,win,1.2785,3.0425,-1.764,loss,62850,1.5067
Worms,0.6104,0.7662,-0.1558,loss,0.9716,1.5027,-0.5311,win,1.4629,3.1133,-1.6504,loss,61370,1.5011
WormsTwoClass,0.7013,0.7065,-0.0052,loss,0.5528,1.8387,-1.2859,win,1.1857,4.3009,-3.1152,loss,61148,1.5003
Yoga,0.884,0.9031,-0.0191,loss,0.2953,0.5236,-0.2283,win,1.7207,6.6224,-4.9017,loss,61148,1.5003
ACSF1,0.78,,,no_baseline,0.6733,,,no_baseline,1.2159,,,no_baseline,61740,1.5025
AllGestureWiimoteX,0.7614,,,no_baseline,0.8298,,,no_baseline,1.6962,,,no_baseline,61740,1.5025
AllGestureWiimoteY,0.7943,,,no_baseline,0.7447,,,no_baseline,2.7728,,,no_baseline,61740,1.5025
AllGestureWiimoteZ,0.7371,,,no_baseline,0.9241,,,no_baseline,1.9699,,,no_baseline,61740,1.5025
BME,0.9933,,,no_baseline,0.1044,,,no_baseline,1.6243,,,no_baseline,61222,1.5006
Chinatown,0.9825,,,no_baseline,0.0984,,,no_baseline,0.7889,,,no_baseline,61148,1.5003
Crop,0.7153,,,no_baseline,0.9185,,,no_baseline,0.8616,,,no_baseline,62776,1.5065
DodgerLoopDay,0.6,,,no_baseline,1.2366,,,no_baseline,0.9346,,,no_baseline,61518,1.5017
DodgerLoopGame,0.9348,,,no_baseline,0.1897,,,no_baseline,1.8942,,,no_baseline,61148,1.5003
DodgerLoopWeekend,0.9783,,,no_baseline,0.1055,,,no_baseline,1.5307,,,no_baseline,61148,1.5003
EOGHorizontalSignal,0.4669,,,no_baseline,1.8716,,,no_baseline,1.4272,,,no_baseline,61888,1.5031
EOGVerticalSignal,0.4751,,,no_baseline,1.8178,,,no_baseline,1.6317,,,no_baseline,61888,1.5031
EthanolLevel,0.77,,,no_baseline,0.5124,,,no_baseline,0.2182,,,no_baseline,61296,1.5009
FreezerRegularTrain,0.9972,,,no_baseline,0.0576,,,no_baseline,0.756,,,no_baseline,61148,1.5003
FreezerSmallTrain,0.6688,,,no_baseline,0.8386,,,no_baseline,1.4319,,,no_baseline,61148,1.5003
Fungi,0.9892,,,no_baseline,0.1536,,,no_baseline,1.2197,,,no_baseline,62332,1.5048
GestureMidAirD1,0.7154,,,no_baseline,1.1497,,,no_baseline,3.0787,,,no_baseline,62924,1.507
GestureMidAirD2,0.5846,,,no_baseline,1.1864,,,no_baseline,2.3186,,,no_baseline,62924,1.507
GestureMidAirD3,0.3462,,,no_baseline,2.3136,,,no_baseline,2.0194,,,no_baseline,62924,1.507
GesturePebbleZ1,0.9128,,,no_baseline,0.2972,,,no_baseline,2.0451,,,no_baseline,61444,1.5014
GesturePebbleZ2,0.9241,,,no_baseline,0.3355,,,no_baseline,1.4712,,,no_baseline,61444,1.5014
GunPointAgeSpan,0.981,,,no_baseline,0.0991,,,no_baseline,1.0529,,,no_baseline,61148,1.5003
GunPointMaleVersusFemale,0.9905,,,no_baseline,0.0855,,,no_baseline,2.496,,,no_baseline,61148,1.5003
GunPointOldVersusYoung,0.9873,,,no_baseline,0.0807,,,no_baseline,0.9482,,,no_baseline,61148,1.5003
HouseTwenty,0.9664,,,no_baseline,0.163,,,no_baseline,1.6715,,,no_baseline,61148,1.5003
InsectEPGRegularTrain,0.988,,,no_baseline,0.1037,,,no_baseline,2.3898,,,no_baseline,61222,1.5006
InsectEPGSmallTrain,0.9478,,,no_baseline,0.2078,,,no_baseline,2.1328,,,no_baseline,61222,1.5006
MelbournePedestrian,0.8926,,,no_baseline,0.3591,,,no_baseline,0.5437,,,no_baseline,61740,1.5025
MixedShapesRegularTrain,0.96,,,no_baseline,0.1972,,,no_baseline,1.7177,,,no_baseline,61370,1.5011
MixedShapesSmallTrain,0.8433,,,no_baseline,0.5017,,,no_baseline,2.2753,,,no_baseline,61370,1.5011
PLAID,0.9143,,,no_baseline,0.3439,,,no_baseline,1.9415,,,no_baseline,61814,1.5028
