metric,value
model,seanet_bottleneck_dualstream__mstcn_sep_bottleneck_dualstream_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.824
webtraffic_ndcg,0.6516
params,41845
model_size_mb,1.431
