metric,value
model,seanet_gated_max_softmax__mstcn_sep_gated_softmax_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.914
webtraffic_ndcg,0.776
params,61741
model_size_mb,1.503
