metric,value
model,seanet_topk_voting__sea_mstcn_sep_bottleneck__sea_topk_voting
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.87
webtraffic_ndcg,0.6009
params,41325
model_size_mb,1.428
