metric,value
model,seanet_inputgate__sea_mstcn_sep_inputgate__sea_classwise_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.914
webtraffic_ndcg,0.7145
params,58092
model_size_mb,1.489
