dataset           , model           , settings, run_at             , seed, device, params, model_size_mb, n_train, n_val, n_test, series_length, n_classes, lambda_entropy, test_acc, test_bal_acc, test_auroc, test_loss, test_aopcr, test_ndcg, train_time_s
WebTraffic        , seanet_classwise, df4a9c11, 2026-07-16 15:31:34,    0, cuda  , 269164,        3.5389,     400,   100,    500,          1008,        10,           0.01,   0.956 ,       0.956 ,     0.9962,    0.2524,     1.7338,    0.6963,       480.15
ACSF1             , seanet_classwise, df4a9c11, 2026-07-16 15:32:44,    0, cuda  , 269164,        3.5389,      80,    20,    100,          1460,        10,           0.01,   0.76  ,       0.76  ,     0.9747,    0.7839,     0.6526,          ,        61.11
Adiac             , seanet_classwise, df4a9c11, 2026-07-16 15:34:02,    0, cuda  , 272890,        3.5531,     328,    62,    391,           176,        37,           0.01,   0.7954,       0.7951,     0.9788,    0.8769,     2.8905,          ,        65.75
AllGestureWiimoteX, seanet_classwise, df4a9c11, 2026-07-16 15:35:34,    0, cuda  , 269164,        3.5389,     240,    60,    700,           500,        10,           0.01,   0.7343,       0.7343,     0.9239,    0.9765,     2.0408,          ,        73.39
AllGestureWiimoteY, seanet_classwise, df4a9c11, 2026-07-16 15:36:58,    0, cuda  , 269164,        3.5389,     240,    60,    700,           500,        10,           0.01,   0.7729,       0.7729,     0.9448,    0.8426,     2.2127,          ,        66.21
