metric,value
model,seanet_slim_softmax__mstcn_sep_softmax_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.89
webtraffic_ndcg,0.7049
params,57581
model_size_mb,1.485
