dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Trace,1.0,1.0,0.0,tie,0.1057,0.0,0.1057,loss,1.0011,4.9221,-3.921,loss,493205,4.3756
UWaveGestureLibraryAll,0.9679,0.9447,0.0232,win,0.261,0.3434,-0.0824,win,0.2172,8.0814,-7.8642,loss,493721,4.3775
UWaveGestureLibraryX,0.8224,0.8099,0.0125,win,0.5975,1.5956,-0.9981,win,0.572,4.3044,-3.7324,loss,493721,4.3775
UWaveGestureLibraryY,0.7351,0.7528,-0.0177,loss,0.817,1.8851,-1.0681,win,0.55,4.101,-3.551,loss,493721,4.3775
UWaveGestureLibraryZ,0.706,0.7432,-0.0372,loss,0.7997,1.9758,-1.1761,win,0.7118,4.6466,-3.9348,loss,493721,4.3775
Wine,0.7407,0.8185,-0.0778,loss,0.4323,0.9499,-0.5176,win,-21.9141,26.9638,-48.8779,loss,492947,4.3746
WordSynonyms,0.7163,0.7417,-0.0254,loss,1.2284,1.8361,-0.6077,win,0.3863,3.0425,-2.6562,loss,495914,4.3859
Worms,0.5974,0.7662,-0.1688,loss,0.9228,1.5027,-0.5799,win,0.919,3.1133,-2.1943,loss,493334,4.3761
WormsTwoClass,0.7013,0.7065,-0.0052,loss,0.501,1.8387,-1.3377,win,0.5705,4.3009,-3.7304,loss,492947,4.3746
Yoga,0.8747,0.9031,-0.0284,loss,0.3203,0.5236,-0.2033,win,0.5822,6.6224,-6.0402,loss,492947,4.3746
ACSF1,0.74,,,no_baseline,0.8015,,,no_baseline,-0.5342,,,no_baseline,493979,4.3785
AllGestureWiimoteX,0.6371,,,no_baseline,1.1856,,,no_baseline,1.2809,,,no_baseline,493979,4.3785
AllGestureWiimoteY,0.6929,,,no_baseline,1.033,,,no_baseline,1.2751,,,no_baseline,493979,4.3785
AllGestureWiimoteZ,0.6457,,,no_baseline,1.1876,,,no_baseline,1.1435,,,no_baseline,493979,4.3785
DodgerLoopDay,0.475,,,no_baseline,1.5251,,,no_baseline,0.5183,,,no_baseline,493592,4.377
DodgerLoopGame,0.8551,,,no_baseline,0.3652,,,no_baseline,0.9027,,,no_baseline,492947,4.3746
DodgerLoopWeekend,0.9855,,,no_baseline,0.128,,,no_baseline,0.3481,,,no_baseline,492947,4.3746
EOGHorizontalSignal,0.5193,,,no_baseline,1.4853,,,no_baseline,1.8747,,,no_baseline,494237,4.3795
EOGVerticalSignal,0.4724,,,no_baseline,1.775,,,no_baseline,1.3262,,,no_baseline,494237,4.3795
EthanolLevel,0.822,,,no_baseline,0.5022,,,no_baseline,0.8327,,,no_baseline,493205,4.3756
FreezerRegularTrain,0.9958,,,no_baseline,0.0756,,,no_baseline,0.6509,,,no_baseline,492947,4.3746
FreezerSmallTrain,0.6579,,,no_baseline,0.867,,,no_baseline,0.5971,,,no_baseline,492947,4.3746
GestureMidAirD1,0.5846,,,no_baseline,1.2722,,,no_baseline,1.1825,,,no_baseline,496043,4.3864
GestureMidAirD2,0.5615,,,no_baseline,1.2572,,,no_baseline,1.1185,,,no_baseline,496043,4.3864
GestureMidAirD3,0.3462,,,no_baseline,2.4211,,,no_baseline,1.138,,,no_baseline,496043,4.3864
GesturePebbleZ1,0.8953,,,no_baseline,0.4225,,,no_baseline,1.0792,,,no_baseline,493463,4.3766
GesturePebbleZ2,0.8924,,,no_baseline,0.3866,,,no_baseline,1.2539,,,no_baseline,493463,4.3766
HouseTwenty,0.9748,,,no_baseline,0.1554,,,no_baseline,0.8509,,,no_baseline,492947,4.3746
InsectEPGRegularTrain,0.9839,,,no_baseline,0.1445,,,no_baseline,0.8701,,,no_baseline,493076,4.3751
InsectEPGSmallTrain,0.8594,,,no_baseline,0.4387,,,no_baseline,0.7034,,,no_baseline,493076,4.3751
MixedShapesRegularTrain,0.9641,,,no_baseline,0.2243,,,no_baseline,0.4114,,,no_baseline,493334,4.3761
MixedShapesSmallTrain,0.9274,,,no_baseline,0.3273,,,no_baseline,0.3907,,,no_baseline,493334,4.3761
PLAID,0.8194,,,no_baseline,0.6702,,,no_baseline,2.1565,,,no_baseline,494108,4.379
PickupGestureWiimoteZ,0.82,,,no_baseline,0.8182,,,no_baseline,0.833,,,no_baseline,493979,4.3785
PigAirwayPressure,0.0385,,,no_baseline,3.8476,,,no_baseline,0.1322,,,no_baseline,499397,4.3992
PigArtPressure,0.8269,,,no_baseline,0.7432,,,no_baseline,0.5179,,,no_baseline,499397,4.3992
PigCVP,0.7212,,,no_baseline,1.2815,,,no_baseline,-0.0351,,,no_baseline,499397,4.3992
Rock,0.74,,,no_baseline,0.7939,,,no_baseline,1.0274,,,no_baseline,493205,4.3756
SemgHandGenderCh2,0.855,,,no_baseline,0.3391,,,no_baseline,1.445,,,no_baseline,492947,4.3746
SemgHandMovementCh2,0.4933,,,no_baseline,1.3031,,,no_baseline,1.1246,,,no_baseline,493463,4.3766
SemgHandSubjectCh2,0.7911,,,no_baseline,0.6484,,,no_baseline,1.4622,,,no_baseline,493334,4.3761
ShakeGestureWiimoteZ,0.82,,,no_baseline,0.6504,,,no_baseline,0.7686,,,no_baseline,493979,4.3785
