metric,value
model,mstcn_sep_softmax_conjunctive
millet85_datasets,85
mean_acc_ours,0.8172
mean_acc_millet,0.8445
acc_win_tie_loss,21/23/41
mean_loss_ours,0.5385
mean_loss_millet,1.2241
loss_win_tie_loss,59/1/25
mean_aopcr_ours,0.515
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,4/0/81
overall_ucr_datasets,128
overall_mean_acc,0.8153
overall_mean_loss,0.5846
overall_mean_aopcr,0.6206
webtraffic_acc,0.896
webtraffic_ndcg,0.6262
params,269165
model_size_mb,3.539
