metric,value
model,seanet_recon__sea_mstcn_sep_recon__sea_classwise_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.91
webtraffic_ndcg,0.6804
params,62925
model_size_mb,1.51
