epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
116,0.747341,0.9775,1.303732,0.8,val_loss,187
117,0.726546,0.9975,1.366775,0.75,val_loss,187
118,0.715744,0.9975,1.233412,0.78,val_loss,187
119,0.699482,0.9975,1.216647,0.82,val_loss,187
120,0.696503,0.995,1.117402,0.86,val_loss,187
121,0.711751,0.995,1.281802,0.84,val_loss,187
122,0.707358,0.995,1.285817,0.77,val_loss,187
123,0.701817,0.995,1.224332,0.78,val_loss,187
124,0.689753,0.9975,1.337544,0.74,val_loss,187
125,0.698187,1.0,1.163573,0.84,val_loss,187
126,0.6965,1.0,1.320923,0.78,val_loss,187
127,0.698386,0.995,1.157332,0.83,val_loss,187
128,0.688492,0.9975,1.141279,0.83,val_loss,187
129,0.684338,1.0,1.119692,0.84,val_loss,187
130,0.708834,0.995,1.12786,0.84,val_loss,187
131,0.703624,0.995,1.241123,0.78,val_loss,187
132,0.730686,0.9925,1.282107,0.8,val_loss,187
133,0.732145,0.99,1.142317,0.78,val_loss,187
134,0.716821,0.99,1.452517,0.72,val_loss,187
135,0.711062,1.0,1.280936,0.78,val_loss,187
136,0.682699,1.0,1.118277,0.85,val_loss,187
137,0.714691,0.9975,1.197424,0.78,val_loss,187
138,0.722826,0.9925,1.337887,0.74,val_loss,187
139,0.733005,0.9875,1.410871,0.72,val_loss,187
140,0.728627,0.9925,1.337485,0.8,val_loss,187
141,0.758717,0.985,1.316174,0.79,val_loss,187
142,0.742493,0.985,1.241549,0.82,val_loss,187
143,0.704073,0.99,1.298492,0.81,val_loss,187
144,0.709245,0.9875,1.169258,0.79,val_loss,187
145,0.699037,1.0,1.302164,0.79,val_loss,187
146,0.687015,1.0,1.042729,0.81,val_loss,187
147,0.676262,1.0,1.180297,0.78,val_loss,187
148,0.673755,0.9975,1.243582,0.81,val_loss,187
149,0.671866,1.0,1.129021,0.77,val_loss,187
150,0.681794,0.9975,1.18494,0.8,val_loss,187
151,0.671697,1.0,1.087323,0.82,val_loss,187
152,0.679433,1.0,1.21906,0.78,val_loss,187
153,0.679052,1.0,1.04367,0.85,val_loss,187
154,0.676649,1.0,1.231259,0.79,val_loss,187
155,0.671912,1.0,1.026287,0.86,val_loss,187
156,0.664373,1.0,1.165358,0.81,val_loss,187
157,0.668548,1.0,1.108141,0.82,val_loss,187
158,0.673364,1.0,0.989691,0.86,val_loss,187
159,0.684258,0.9975,1.275996,0.77,val_loss,187
160,0.686443,1.0,1.118336,0.8,val_loss,187
161,0.689182,0.995,1.214671,0.79,val_loss,187
162,0.685707,0.9975,1.130916,0.8,val_loss,187
