rank,model,config,encoder,pooling,origin,web_acc,web_loss,web_aopcr,web_ndcg,params,size_mb,ucr85_n,ucr85_acc,ucr85_loss,ucr85_aopcr,ucr85_acc_wtl,ucr85_loss_wtl,ucr85_aopcr_wtl,ucr_all_n,ucr_all_acc,ucr_all_loss,ucr_all_aopcr,millet_acc,millet_loss,millet_aopcr
20,seanet_spiketrend_gatedattn__sea_mstcn_sep_spiketrend__sea_gated_attention,seanet_spiketrend_gatedattn,sea_mstcn_sep_spiketrend,sea_gated_attention,ours,0.93,0.3503,1.5926,0.7205,67540,1.528,85,0.8039,0.5537,0.6818,15/14/56,58/1/26,4/0/81,128,0.8007,0.6124,0.8118,0.8445,1.2241,4.5532
21,seanet_slim_adaptive__sea_mstcn_sep__sea_adaptive_classwise,seanet_slim_adaptive,sea_mstcn_sep,sea_adaptive_classwise,ours,0.93,0.3355,2.448,0.7928,57590,1.485,0,,,,,,,0,,,,,,
22,seanet_gated__sea_mstcn_sep_gated__sea_classwise_conjunctive,seanet_gated,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.93,0.3591,2.4077,0.6374,61740,1.502,85,0.79,0.5848,0.4856,16/15/54,55/1/29,3/0/82,128,0.7876,0.6391,0.5997,0.8445,1.2241,4.5532
23,seanet_bottleneck_gatedattn__sea_mstcn_sep_bottleneck__sea_gated_attention,seanet_bottleneck_gatedattn,sea_mstcn_sep_bottleneck,sea_gated_attention,ours,0.93,0.3131,2.2315,0.7413,41844,1.43,85,0.8146,0.533,0.6877,23/14/48,59/1/25,5/0/80,128,0.8127,0.5839,0.8544,0.8445,1.2241,4.5532
24,seanet_gated_last_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,seanet_gated_last_softmax,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.92,0.3806,1.9895,0.7378,61741,1.503,0,,,,,,,0,,,,,,
25,seanet_gated_last_gatedattn__sea_mstcn_sep_gated__sea_gated_attention,seanet_gated_last_gatedattn,sea_mstcn_sep_gated,sea_gated_attention,ours,0.918,0.3653,1.3542,0.757,62260,1.505,85,0.8048,0.5564,0.4998,17/15/53,58/0/27,3/0/82,128,0.797,0.6178,0.6745,0.8445,1.2241,4.5532
26,seanet_acp__sea_mstcn_sep__sea_adaptive_classwise,seanet_acp,sea_mstcn_sep,sea_adaptive_classwise,ours,0.918,0.3601,1.6081,0.6188,269174,3.539,0,,,,,,,0,,,,,,
27,seanet_slim__sea_mstcn_sep__sea_classwise_conjunctive,seanet_slim,sea_mstcn_sep,sea_classwise_conjunctive,ours,0.916,0.3826,2.4782,0.7185,57580,1.484,0,,,,,,,0,,,,,,
28,seanet_gated_max_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,seanet_gated_max_softmax,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.914,0.3722,1.8836,0.776,61741,1.503,0,,,,,,,0,,,,,,
29,seanet_inputgate__sea_mstcn_sep_inputgate__sea_classwise_conjunctive,seanet_inputgate,sea_mstcn_sep_inputgate,sea_classwise_conjunctive,ours,0.914,0.3976,2.4805,0.7145,58092,1.489,0,,,,,,,0,,,,,,
