model                                                                             , millet85_datasets, mean_acc_ours, mean_acc_millet, acc_win_tie_loss, mean_loss_ours, mean_loss_millet, loss_win_tie_loss, mean_aopcr_ours, mean_aopcr_millet, aopcr_win_tie_loss, overall_ucr_datasets, overall_mean_acc, overall_mean_loss, overall_mean_aopcr, webtraffic_acc, webtraffic_ndcg, params, model_size_mb
seanet_gated_last_gatedattn__sea_mstcn_sep_gated__sea_gated_attention             ,                85,        0.8048,          0.8445, 17/15/53        ,         0.5564,           1.2241, 58/0/27          ,          0.4998,            4.5532, 3/0/82            ,                  128,           0.797 ,            0.6178,             0.6745,          0.918,          0.757 ,  62260,         1.505
seanet_spiketrend_gatedattn__sea_mstcn_sep_spiketrend__sea_gated_attention        ,                85,        0.8039,          0.8445, 15/14/56        ,         0.5537,           1.2241, 58/1/26          ,          0.6818,            4.5532, 4/0/81            ,                  128,           0.8007,            0.6124,             0.8118,          0.93 ,          0.7205,  67540,         1.528
seanet_gated_last_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise           ,                85,        0.8029,          0.8445, 18/18/49        ,         0.5633,           1.2241, 57/0/28          ,          0.7965,            4.5532, 4/1/80            ,                  128,           0.7988,            0.6253,             0.9063,          0.938,          0.7929,  61750,         1.503
seanet_gated_last_topk__sea_mstcn_sep_gated__sea_topk_conjunctive                 ,                85,        0.8015,          0.8445, 17/17/51        ,         0.5531,           1.2241, 59/0/26          ,          0.9674,            4.5532, 3/1/81            ,                  128,           0.7985,            0.6062,             1.0877,          0.942,          0.7483,  61740,         1.502
seanet_spiketrend_adaptive__sea_mstcn_sep_spiketrend__sea_adaptive_classwise      ,                85,        0.801 ,          0.8445, 24/12/49        ,         0.5641,           1.2241, 57/0/28          ,          0.6768,            4.5532, 4/0/81            ,                  128,           0.7936,            0.6374,             0.5584,          0.934,          0.7471,  67030,         1.526
seanet_gated__sea_mstcn_sep_gated__sea_classwise_conjunctive                      ,                85,        0.79  ,          0.8445, 16/15/54        ,         0.5848,           1.2241, 55/1/29          ,          0.4856,            4.5532, 3/0/82            ,                  128,           0.7876,            0.6391,             0.5997,          0.93 ,          0.6374,  61740,         1.502
seanet_gated_last__sea_mstcn_sep_gated__sea_classwise_conjunctive                 ,                85,        0.7888,          0.8445, 17/12/56        ,         0.5922,           1.2241, 55/0/30          ,          0.535 ,            4.5532, 3/0/82            ,                  128,           0.7826,            0.6512,             0.6312,          0.942,          0.7417,  61740,         1.502
seanet_bottleneck_adaptive__sea_mstcn_sep_bottleneck__sea_adaptive_classwise      ,                 6,        0.7772,          0.8827, 0/0/6           ,         0.5645,           0.6432, 3/1/2            ,          0.8861,            5.9673, 0/0/6             ,                    6,           0.7772,            0.5645,             0.8861,          0.868,          0.6805,  41334,         1.428
seanet_bottleneck__sea_mstcn_sep_bottleneck__sea_classwise_conjunctive            ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.902,          0.7325,  41324,         1.428
seanet_bottleneck_attnmax__sea_mstcn_sep_bottleneck__sea_attention_max            ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.816,          0.6101,  41334,         1.428
