metric,value
model,seanet_classwise__mstcn_sep_classwise_conjunctive
millet85_datasets,85
mean_acc_ours,0.802
mean_acc_millet,0.8445
acc_win_tie_loss,22/12/51
mean_loss_ours,0.5598
mean_loss_millet,1.2241
loss_win_tie_loss,57/3/25
mean_aopcr_ours,0.2451
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,3/0/82
overall_ucr_datasets,128
overall_mean_acc,0.7921
overall_mean_loss,0.6247
overall_mean_aopcr,0.2891
webtraffic_acc,0.782
params,272748
model_size_mb,3.553
