metric,value
model,seanet_recon_attnmax__sea_mstcn_sep_recon__sea_attention_max
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.892
webtraffic_ndcg,0.7245
params,62935
model_size_mb,1.51
