epoch,loss,monitored,best_epoch
1,1.9099043607711792,val_loss,35
2,2.0333292484283447,val_loss,35
3,1.7143363952636719,val_loss,35
4,1.7815496921539307,val_loss,35
5,1.6657018661499023,val_loss,35
6,1.5790793895721436,val_loss,35
7,1.740511178970337,val_loss,35
8,2.4530889987945557,val_loss,35
9,1.7491285800933838,val_loss,35
10,1.7899470329284668,val_loss,35
11,1.529852032661438,val_loss,35
12,1.914772391319275,val_loss,35
13,1.5614349842071533,val_loss,35
14,1.725538969039917,val_loss,35
15,1.6443328857421875,val_loss,35
16,1.7402043342590332,val_loss,35
17,1.4651994705200195,val_loss,35
18,1.8765578269958496,val_loss,35
19,3.030587911605835,val_loss,35
20,1.982090950012207,val_loss,35
21,2.151639938354492,val_loss,35
22,2.124741792678833,val_loss,35
23,2.083667755126953,val_loss,35
24,1.8564616441726685,val_loss,35
25,2.117516040802002,val_loss,35
26,1.7043603658676147,val_loss,35
27,1.6845347881317139,val_loss,35
28,1.9649899005889893,val_loss,35
29,1.6060338020324707,val_loss,35
30,4.912641525268555,val_loss,35
31,3.252913475036621,val_loss,35
32,3.980041027069092,val_loss,35
33,1.95671546459198,val_loss,35
34,2.192352056503296,val_loss,35
35,1.4258465766906738,val_loss,35
36,1.4720364809036255,val_loss,35
37,3.8840227127075195,val_loss,35
38,5.4045281410217285,val_loss,35
39,3.753697633743286,val_loss,35
40,1.7489385604858398,val_loss,35
41,2.773550510406494,val_loss,35
42,2.255218029022217,val_loss,35
43,1.894586443901062,val_loss,35
44,2.7023751735687256,val_loss,35
45,3.2435169219970703,val_loss,35
46,1.8113681077957153,val_loss,35
47,3.8405332565307617,val_loss,35
48,2.770423650741577,val_loss,35
49,6.062007904052734,val_loss,35
50,2.286748170852661,val_loss,35
51,2.860374927520752,val_loss,35
52,2.270073652267456,val_loss,35
53,2.570840358734131,val_loss,35
54,2.0457820892333984,val_loss,35
55,3.296276092529297,val_loss,35
56,3.0548739433288574,val_loss,35
57,1.6467933654785156,val_loss,35
58,2.1460561752319336,val_loss,35
59,1.6992249488830566,val_loss,35
60,3.419013500213623,val_loss,35
61,2.4199626445770264,val_loss,35
62,1.825333833694458,val_loss,35
63,2.255560874938965,val_loss,35
64,1.9310264587402344,val_loss,35
65,2.1494081020355225,val_loss,35
66,3.1213505268096924,val_loss,35
67,1.8477184772491455,val_loss,35
68,2.0556302070617676,val_loss,35
69,1.9699995517730713,val_loss,35
70,1.8839833736419678,val_loss,35
71,2.769505739212036,val_loss,35
72,2.1036672592163086,val_loss,35
73,1.90708327293396,val_loss,35
74,2.254579544067383,val_loss,35
75,1.7975431680679321,val_loss,35
76,2.286787986755371,val_loss,35
77,2.0445258617401123,val_loss,35
78,1.9225678443908691,val_loss,35
79,1.6194900274276733,val_loss,35
80,1.8919768333435059,val_loss,35
81,1.8079065084457397,val_loss,35
82,1.922885537147522,val_loss,35
83,1.7366565465927124,val_loss,35
84,2.7686471939086914,val_loss,35
85,2.530690908432007,val_loss,35
86,1.5786278247833252,val_loss,35
87,2.26149845123291,val_loss,35
88,1.780495524406433,val_loss,35
89,1.6969594955444336,val_loss,35
90,1.5202184915542603,val_loss,35
91,1.5576635599136353,val_loss,35
92,1.738620638847351,val_loss,35
93,2.0608789920806885,val_loss,35
94,2.353168487548828,val_loss,35
95,2.778594493865967,val_loss,35
