metric,value
model,seanet_inputgate_adaptive__mstcn_sep_inputgate_adaptive_classwise
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.938
webtraffic_ndcg,0.7767
params,58102
model_size_mb,1.489
