metric,value
model,seanet_spiketrend__sea_mstcn_sep_spiketrend__sea_classwise_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.904
webtraffic_ndcg,0.6985
params,67020
model_size_mb,1.525
