metric,value
model,seanet_slim_gatedattn__sea_mstcn_sep__sea_gated_attention
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.894
webtraffic_ndcg,0.7141
params,58100
model_size_mb,1.487
