epoch,loss,monitored,best_epoch
1,0.4965333044528961,train_loss,1387
2,0.05027442425489426,train_loss,1387
3,0.016591794788837433,train_loss,1387
4,0.23081527650356293,train_loss,1387
5,0.03152921795845032,train_loss,1387
6,0.027330204844474792,train_loss,1387
7,0.025743909180164337,train_loss,1387
8,0.0033100638538599014,train_loss,1387
9,0.0016562428791075945,train_loss,1387
10,0.002342106541618705,train_loss,1387
11,0.04874112084507942,train_loss,1387
12,0.0019254416693001986,train_loss,1387
13,0.014951320365071297,train_loss,1387
14,0.0009965423960238695,train_loss,1387
15,0.0053817895241081715,train_loss,1387
16,0.03153279423713684,train_loss,1387
17,0.0005305996164679527,train_loss,1387
18,0.003120014676824212,train_loss,1387
19,0.10259564220905304,train_loss,1387
20,0.021469367668032646,train_loss,1387
21,0.05327833816409111,train_loss,1387
22,0.026352442800998688,train_loss,1387
23,0.003537506563588977,train_loss,1387
24,0.0032207577023655176,train_loss,1387
25,0.3303758203983307,train_loss,1387
26,0.0024979542940855026,train_loss,1387
27,0.000984266516752541,train_loss,1387
28,0.0037286393344402313,train_loss,1387
29,0.0009580965270288289,train_loss,1387
30,0.0006474170950241387,train_loss,1387
31,0.001346271252259612,train_loss,1387
32,0.0005056103691458702,train_loss,1387
33,0.00044643174624070525,train_loss,1387
34,0.0010939398780465126,train_loss,1387
35,0.00015629555855412036,train_loss,1387
36,0.00047422564239241183,train_loss,1387
37,0.0001161575855803676,train_loss,1387
38,7.636540976818651e-05,train_loss,1387
39,0.00010030331031884998,train_loss,1387
40,8.262058690888807e-05,train_loss,1387
41,9.828597831074148e-05,train_loss,1387
42,4.639956750907004e-05,train_loss,1387
43,4.5581920858239755e-05,train_loss,1387
44,5.3137348004383966e-05,train_loss,1387
45,0.00010059029591502622,train_loss,1387
46,4.592029290506616e-05,train_loss,1387
47,0.0003506431239657104,train_loss,1387
48,3.292844121460803e-05,train_loss,1387
49,3.053283580811694e-05,train_loss,1387
50,3.0996165151009336e-05,train_loss,1387
51,5.083475116407499e-05,train_loss,1387
52,3.559159085853025e-05,train_loss,1387
53,2.548170232330449e-05,train_loss,1387
54,3.0096318369032815e-05,train_loss,1387
55,1.4032782928552479e-05,train_loss,1387
56,1.9522667571436614e-05,train_loss,1387
57,1.1942203855141997e-05,train_loss,1387
58,1.2308751138334628e-05,train_loss,1387
59,1.694896309345495e-05,train_loss,1387
60,7.784582521708217e-06,train_loss,1387
61,1.2901494301331695e-05,train_loss,1387
62,1.1439189620432444e-05,train_loss,1387
63,6.498130005638814e-06,train_loss,1387
64,9.705747288535349e-06,train_loss,1387
65,9.355947440781165e-06,train_loss,1387
66,7.308960903174011e-06,train_loss,1387
67,5.681667971657589e-06,train_loss,1387
68,7.321988960029557e-06,train_loss,1387
69,6.080137609387748e-06,train_loss,1387
70,8.18448097561486e-06,train_loss,1387
71,6.370822120516095e-06,train_loss,1387
72,4.350960807641968e-06,train_loss,1387
73,6.4339737946284e-06,train_loss,1387
74,7.341656328208046e-06,train_loss,1387
75,3.839878445432987e-06,train_loss,1387
76,5.214403699937975e-06,train_loss,1387
77,3.0162007078615716e-06,train_loss,1387
78,3.992419806309044e-06,train_loss,1387
79,3.4808329019142548e-06,train_loss,1387
80,5.369169230107218e-06,train_loss,1387
81,5.859782049810747e-06,train_loss,1387
82,3.998356987722218e-06,train_loss,1387
83,2.803981942633982e-06,train_loss,1387
84,3.0066257750149816e-06,train_loss,1387
85,2.8842534902651096e-06,train_loss,1387
86,1.6897403156690416e-06,train_loss,1387
87,2.4727717118366854e-06,train_loss,1387
88,2.82009409602324e-06,train_loss,1387
89,1.9883427739841864e-06,train_loss,1387
90,2.4819798909447854e-06,train_loss,1387
91,2.7238820621278137e-06,train_loss,1387
92,1.7555325939611066e-06,train_loss,1387
93,1.0998578545695636e-05,train_loss,1387
94,3.820548954536207e-05,train_loss,1387
95,2.9614852792292368e-06,train_loss,1387
96,3.7568743209703825e-06,train_loss,1387
97,0.08254127949476242,train_loss,1387
98,0.0025424056220799685,train_loss,1387
99,0.005824656691402197,train_loss,1387
100,0.0008040476823225617,train_loss,1387
101,0.16540402173995972,train_loss,1387
102,0.0008262909250333905,train_loss,1387
103,0.0005311131244525313,train_loss,1387
104,0.0005682596820406616,train_loss,1387
105,0.002570902928709984,train_loss,1387
