epoch,loss,monitored,best_epoch
1,1.0202597379684448,train_loss,1439
2,0.8607615828514099,train_loss,1439
3,0.8211628198623657,train_loss,1439
4,0.48792093992233276,train_loss,1439
5,0.2200184315443039,train_loss,1439
6,1.2734959125518799,train_loss,1439
7,0.1205858439207077,train_loss,1439
8,0.22094213962554932,train_loss,1439
9,0.8561362028121948,train_loss,1439
10,0.2417418211698532,train_loss,1439
11,0.08118647336959839,train_loss,1439
12,0.030228693038225174,train_loss,1439
13,0.0669994205236435,train_loss,1439
14,0.5794906616210938,train_loss,1439
15,0.2016192376613617,train_loss,1439
16,0.17945224046707153,train_loss,1439
17,0.4963911175727844,train_loss,1439
18,0.5199100375175476,train_loss,1439
19,0.32316598296165466,train_loss,1439
20,0.5593699216842651,train_loss,1439
21,0.53523850440979,train_loss,1439
22,0.03973840922117233,train_loss,1439
23,0.3354664742946625,train_loss,1439
24,0.19645430147647858,train_loss,1439
25,0.019721075892448425,train_loss,1439
26,1.7110575437545776,train_loss,1439
27,0.12666596472263336,train_loss,1439
28,1.0022748708724976,train_loss,1439
29,0.07562252879142761,train_loss,1439
30,0.16317157447338104,train_loss,1439
31,0.037296801805496216,train_loss,1439
32,0.07751069217920303,train_loss,1439
33,0.09716981649398804,train_loss,1439
34,0.014475642703473568,train_loss,1439
35,0.09665956348180771,train_loss,1439
36,0.019054217264056206,train_loss,1439
37,0.08880152553319931,train_loss,1439
38,0.11558845639228821,train_loss,1439
39,0.5037811994552612,train_loss,1439
40,0.0323183611035347,train_loss,1439
41,0.018126610666513443,train_loss,1439
42,0.009543368592858315,train_loss,1439
43,0.022989626973867416,train_loss,1439
44,0.02057281881570816,train_loss,1439
45,0.16238252818584442,train_loss,1439
46,0.01710091158747673,train_loss,1439
47,0.08447565138339996,train_loss,1439
48,0.02111665904521942,train_loss,1439
49,0.26258376240730286,train_loss,1439
50,0.15189138054847717,train_loss,1439
51,0.03709905594587326,train_loss,1439
52,0.012724721804261208,train_loss,1439
53,0.009253306314349174,train_loss,1439
54,0.022965652868151665,train_loss,1439
55,0.002432511653751135,train_loss,1439
56,0.0045497543178498745,train_loss,1439
57,0.011487765237689018,train_loss,1439
58,0.008250652812421322,train_loss,1439
59,0.0036123713944107294,train_loss,1439
60,0.0655696764588356,train_loss,1439
61,0.02384769916534424,train_loss,1439
62,0.009987394325435162,train_loss,1439
63,0.004246964119374752,train_loss,1439
64,0.0032110747415572405,train_loss,1439
65,0.0036439811810851097,train_loss,1439
66,0.16807153820991516,train_loss,1439
67,0.03965894132852554,train_loss,1439
68,0.9694912433624268,train_loss,1439
69,0.06118278205394745,train_loss,1439
70,0.12935729324817657,train_loss,1439
71,0.05158033221960068,train_loss,1439
72,0.1575343757867813,train_loss,1439
73,0.015552408061921597,train_loss,1439
74,0.07348138839006424,train_loss,1439
75,0.05804511159658432,train_loss,1439
76,0.13794326782226562,train_loss,1439
77,0.02718321792781353,train_loss,1439
78,0.04732528328895569,train_loss,1439
79,0.008281292393803596,train_loss,1439
80,0.007436326239258051,train_loss,1439
81,0.00844633299857378,train_loss,1439
82,0.0044510820880532265,train_loss,1439
83,0.004313020035624504,train_loss,1439
84,0.005754406098276377,train_loss,1439
85,0.002110664499923587,train_loss,1439
86,0.02210846357047558,train_loss,1439
87,0.05365981534123421,train_loss,1439
88,0.05600181967020035,train_loss,1439
89,0.06196153163909912,train_loss,1439
90,0.010233745910227299,train_loss,1439
91,0.01652921922504902,train_loss,1439
92,0.003228021552786231,train_loss,1439
93,0.020868545398116112,train_loss,1439
94,0.055888306349515915,train_loss,1439
95,0.05442178621888161,train_loss,1439
96,0.09610213339328766,train_loss,1439
97,0.023668423295021057,train_loss,1439
98,0.05972564220428467,train_loss,1439
99,0.004751620814204216,train_loss,1439
100,0.0025623890105634928,train_loss,1439
101,0.001977113075554371,train_loss,1439
102,0.0014431702438741922,train_loss,1439
103,0.001436837250366807,train_loss,1439
104,0.010461193509399891,train_loss,1439
105,0.06193825230002403,train_loss,1439
106,0.02897488698363304,train_loss,1439
107,0.020292676985263824,train_loss,1439
108,0.0063704452477395535,train_loss,1439
109,0.08010035008192062,train_loss,1439
110,0.00626601604744792,train_loss,1439
111,0.11370845139026642,train_loss,1439
112,0.009051780216395855,train_loss,1439
113,0.003858105977997184,train_loss,1439
114,0.004944582935422659,train_loss,1439
115,0.004141933284699917,train_loss,1439
116,0.0031531930435448885,train_loss,1439
117,0.004832871723920107,train_loss,1439
118,0.0020687179639935493,train_loss,1439
119,0.0012788926251232624,train_loss,1439
120,0.0011113409418612719,train_loss,1439
121,0.0011852467432618141,train_loss,1439
122,0.0016208796296268702,train_loss,1439
123,0.0021047540940344334,train_loss,1439
124,0.0032955838833004236,train_loss,1439
125,0.0012620796915143728,train_loss,1439
126,0.0006874219980090857,train_loss,1439
127,0.0033737989142537117,train_loss,1439
128,0.0009273907635360956,train_loss,1439
