metric,value
model,seanet_recon_softmax__sea_mstcn_sep_recon__sea_softmax_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.932
webtraffic_ndcg,0.723
params,62926
model_size_mb,1.51
