metric,value
model,fcn_conjunctive
millet85_datasets,84
mean_acc_ours,0.8029
mean_acc_millet,0.8433
acc_win_tie_loss,12/17/55
mean_loss_ours,0.5854
mean_loss_millet,1.2321
loss_win_tie_loss,51/1/32
mean_aopcr_ours,0.6864
mean_aopcr_millet,4.5579
aopcr_win_tie_loss,3/0/81
overall_ucr_datasets,124
overall_mean_acc,0.7867
overall_mean_loss,0.6494
overall_mean_aopcr,0.7549
webtraffic_acc,0.566
params,271131
model_size_mb,3.489
