metric,value
model,seanet_bottleneck_pyramid__sea_multiscale_pyramid__sea_topk_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.786
webtraffic_ndcg,0.569
params,42365
model_size_mb,1.442
