metric,value
model,seanet_classwise__mstcn_sep_classwise_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.946
webtraffic_ndcg,0.686
params,269164
model_size_mb,3.539
