metric,value
model,seanet_gated_last_dualstream__mstcn_sep_gated_dualstream_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.736
webtraffic_ndcg,0.6373
params,62261
model_size_mb,1.505
