metric,value
model,mstcn_sep_adaptive_classwise
millet85_datasets,85
mean_acc_ours,0.8199
mean_acc_millet,0.8445
acc_win_tie_loss,21/18/46
mean_loss_ours,0.535
mean_loss_millet,1.2241
loss_win_tie_loss,60/0/25
mean_aopcr_ours,0.7141
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,3/1/81
overall_ucr_datasets,128
overall_mean_acc,0.8167
overall_mean_loss,0.5832
overall_mean_aopcr,0.7588
webtraffic_acc,0.944
webtraffic_ndcg,0.5813
params,269174
model_size_mb,3.539
