metric,value
model,seanet_slim_topk__sea_mstcn_sep__sea_topk_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.932
webtraffic_ndcg,0.7776
params,57580
model_size_mb,1.484
