metric,value
model,seanet_gated_last__mstcn_sep_gated_classwise_conjunctive
millet85_datasets,85
mean_acc_ours,0.7888
mean_acc_millet,0.8445
acc_win_tie_loss,17/12/56
mean_loss_ours,0.5922
mean_loss_millet,1.2241
loss_win_tie_loss,55/0/30
mean_aopcr_ours,0.535
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,3/0/82
overall_ucr_datasets,128
overall_mean_acc,0.7826
overall_mean_loss,0.6512
overall_mean_aopcr,0.6312
webtraffic_acc,0.942
webtraffic_ndcg,0.7417
params,61740
model_size_mb,1.502
