metric,value
model,seanet_bottleneck_mschan_lean__sea_multiscale_channels__sea_topk_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.924
webtraffic_ndcg,0.7346
params,43576
model_size_mb,1.439
