dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
UWaveGestureLibraryX,0.811,0.8099,0.0011,tie,0.6171,1.5956,-0.9785,win,0.648,4.3044,-3.6564,loss,41696,1.4297
UWaveGestureLibraryY,0.7437,0.7528,-0.0091,loss,0.8011,1.8851,-1.084,win,0.8795,4.101,-3.2215,loss,41696,1.4297
UWaveGestureLibraryZ,0.756,0.7432,0.0128,win,0.7121,1.9758,-1.2637,win,1.1725,4.6466,-3.4741,loss,41696,1.4297
Wafer,0.9953,0.998,-0.0027,tie,0.0799,0.017,0.0629,loss,1.4873,1.1361,0.3512,win,41252,1.428
Wine,0.6667,0.8185,-0.1518,loss,0.5757,0.9499,-0.3742,win,-0.5434,26.9638,-27.5072,loss,41252,1.428
WordSynonyms,0.7304,0.7417,-0.0113,loss,1.1767,1.8361,-0.6594,win,0.7968,3.0425,-2.2457,loss,42954,1.4344
Worms,0.7273,0.7662,-0.0389,loss,0.7644,1.5027,-0.7383,win,0.8276,3.1133,-2.2857,loss,41474,1.4288
WormsTwoClass,0.7532,0.7065,0.0467,win,0.5363,1.8387,-1.3024,win,0.2484,4.3009,-4.0525,loss,41252,1.428
Yoga,0.893,0.9031,-0.0101,loss,0.2665,0.5236,-0.2571,win,0.3611,6.6224,-6.2613,loss,41252,1.428
ACSF1,0.81,,,no_baseline,0.6972,,,no_baseline,0.6853,,,no_baseline,41844,1.4302
AllGestureWiimoteX,0.7443,,,no_baseline,0.8913,,,no_baseline,2.7015,,,no_baseline,41844,1.4302
AllGestureWiimoteY,0.7386,,,no_baseline,0.8257,,,no_baseline,2.5507,,,no_baseline,41844,1.4302
AllGestureWiimoteZ,0.7357,,,no_baseline,0.9105,,,no_baseline,2.4357,,,no_baseline,41844,1.4302
BME,0.9933,,,no_baseline,0.1055,,,no_baseline,0.7267,,,no_baseline,41326,1.4283
Chinatown,0.9796,,,no_baseline,0.1124,,,no_baseline,0.4381,,,no_baseline,41252,1.428
Crop,0.7115,,,no_baseline,0.9362,,,no_baseline,0.1607,,,no_baseline,42880,1.4342
DodgerLoopDay,0.625,,,no_baseline,1.3189,,,no_baseline,1.4637,,,no_baseline,41622,1.4294
DodgerLoopGame,0.942,,,no_baseline,0.1753,,,no_baseline,0.3487,,,no_baseline,41252,1.428
DodgerLoopWeekend,0.9783,,,no_baseline,0.1278,,,no_baseline,0.2319,,,no_baseline,41252,1.428
EOGHorizontalSignal,0.5387,,,no_baseline,1.7071,,,no_baseline,1.801,,,no_baseline,41992,1.4308
EOGVerticalSignal,0.4917,,,no_baseline,1.8416,,,no_baseline,2.4494,,,no_baseline,41992,1.4308
EthanolLevel,0.838,,,no_baseline,0.4411,,,no_baseline,-0.4198,,,no_baseline,41400,1.4286
FreezerRegularTrain,0.9947,,,no_baseline,0.0749,,,no_baseline,0.5323,,,no_baseline,41252,1.428
FreezerSmallTrain,0.7333,,,no_baseline,0.6805,,,no_baseline,0.4104,,,no_baseline,41252,1.428
Fungi,0.9301,,,no_baseline,0.2983,,,no_baseline,1.261,,,no_baseline,42436,1.4326
GestureMidAirD1,0.6846,,,no_baseline,0.9708,,,no_baseline,2.3076,,,no_baseline,43028,1.4347
GestureMidAirD2,0.6538,,,no_baseline,0.9983,,,no_baseline,1.7556,,,no_baseline,43028,1.4347
GestureMidAirD3,0.4154,,,no_baseline,2.0263,,,no_baseline,1.8526,,,no_baseline,43028,1.4347
GesturePebbleZ1,0.9128,,,no_baseline,0.3501,,,no_baseline,1.9026,,,no_baseline,41548,1.4291
GesturePebbleZ2,0.8734,,,no_baseline,0.4301,,,no_baseline,2.1186,,,no_baseline,41548,1.4291
GunPointAgeSpan,0.981,,,no_baseline,0.0991,,,no_baseline,0.013,,,no_baseline,41252,1.428
GunPointMaleVersusFemale,0.9905,,,no_baseline,0.0811,,,no_baseline,0.12,,,no_baseline,41252,1.428
GunPointOldVersusYoung,0.9841,,,no_baseline,0.0921,,,no_baseline,1.0145,,,no_baseline,41252,1.428
HouseTwenty,0.9916,,,no_baseline,0.1002,,,no_baseline,1.6804,,,no_baseline,41252,1.428
InsectEPGRegularTrain,0.9839,,,no_baseline,0.1329,,,no_baseline,0.8825,,,no_baseline,41326,1.4283
InsectEPGSmallTrain,0.8956,,,no_baseline,0.3718,,,no_baseline,0.9762,,,no_baseline,41326,1.4283
MelbournePedestrian,0.8979,,,no_baseline,0.3672,,,no_baseline,0.001,,,no_baseline,41844,1.4302
MixedShapesRegularTrain,0.9654,,,no_baseline,0.1889,,,no_baseline,1.5119,,,no_baseline,41474,1.4288
MixedShapesSmallTrain,0.8775,,,no_baseline,0.3852,,,no_baseline,1.1922,,,no_baseline,41474,1.4288
PLAID,0.8752,,,no_baseline,0.466,,,no_baseline,1.8499,,,no_baseline,41918,1.4305
PickupGestureWiimoteZ,0.8,,,no_baseline,0.7936,,,no_baseline,1.5991,,,no_baseline,41844,1.4302
PigAirwayPressure,0.0385,,,no_baseline,3.8653,,,no_baseline,0.1684,,,no_baseline,44952,1.4422
PigArtPressure,0.8702,,,no_baseline,0.644,,,no_baseline,1.0185,,,no_baseline,44952,1.4422
PigCVP,0.5577,,,no_baseline,2.107,,,no_baseline,2.0823,,,no_baseline,44952,1.4422
PowerCons,0.9611,,,no_baseline,0.1363,,,no_baseline,0.1617,,,no_baseline,41252,1.428
Rock,0.54,,,no_baseline,1.1495,,,no_baseline,1.4555,,,no_baseline,41400,1.4286
SemgHandGenderCh2,0.9017,,,no_baseline,0.2558,,,no_baseline,1.0723,,,no_baseline,41252,1.428
SemgHandMovementCh2,0.6044,,,no_baseline,1.0651,,,no_baseline,1.9834,,,no_baseline,41548,1.4291
SemgHandSubjectCh2,0.8667,,,no_baseline,0.4425,,,no_baseline,1.615,,,no_baseline,41474,1.4288
ShakeGestureWiimoteZ,0.92,,,no_baseline,0.5017,,,no_baseline,1.6519,,,no_baseline,41844,1.4302
SmoothSubspace,0.9667,,,no_baseline,0.1659,,,no_baseline,0.4453,,,no_baseline,41326,1.4283
UMD,0.9861,,,no_baseline,0.1058,,,no_baseline,0.6997,,,no_baseline,41326,1.4283
