metric,value
model,seanet_inputgate_softmax__mstcn_sep_inputgate_softmax_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.894
webtraffic_ndcg,0.6955
params,58093
model_size_mb,1.489
