epoch,loss,monitored,best_epoch
1,1.3290166854858398,train_loss,1407
2,1.1418181657791138,train_loss,1407
3,1.5264670848846436,train_loss,1407
4,0.9745741486549377,train_loss,1407
5,0.9778395891189575,train_loss,1407
6,0.9174500107765198,train_loss,1407
7,1.0398184061050415,train_loss,1407
8,0.9406012296676636,train_loss,1407
9,0.8217611908912659,train_loss,1407
10,0.7457899451255798,train_loss,1407
11,0.8140770196914673,train_loss,1407
12,0.7523702383041382,train_loss,1407
13,0.9450803995132446,train_loss,1407
14,0.6692221760749817,train_loss,1407
15,0.6990610957145691,train_loss,1407
16,0.6284111738204956,train_loss,1407
17,0.6039348244667053,train_loss,1407
18,0.6634117364883423,train_loss,1407
19,0.7330439686775208,train_loss,1407
20,0.5337153077125549,train_loss,1407
21,0.46690845489501953,train_loss,1407
22,0.5421400666236877,train_loss,1407
23,0.5260018110275269,train_loss,1407
24,0.4402327239513397,train_loss,1407
25,0.44412606954574585,train_loss,1407
26,0.6316558718681335,train_loss,1407
27,0.46433180570602417,train_loss,1407
28,0.4015141427516937,train_loss,1407
29,0.5009602308273315,train_loss,1407
30,0.3901452422142029,train_loss,1407
31,0.4425046443939209,train_loss,1407
32,0.3155040442943573,train_loss,1407
33,0.3084109127521515,train_loss,1407
34,0.28216949105262756,train_loss,1407
35,0.37844228744506836,train_loss,1407
36,0.35652732849121094,train_loss,1407
37,0.2595028579235077,train_loss,1407
38,0.48457834124565125,train_loss,1407
39,0.2977062165737152,train_loss,1407
40,0.3457522392272949,train_loss,1407
41,0.2949730455875397,train_loss,1407
42,0.3070926368236542,train_loss,1407
43,0.2502270042896271,train_loss,1407
44,0.19458535313606262,train_loss,1407
45,0.19067755341529846,train_loss,1407
46,0.13492146134376526,train_loss,1407
47,0.19588971138000488,train_loss,1407
48,0.17681093513965607,train_loss,1407
49,0.15097643435001373,train_loss,1407
50,0.24033746123313904,train_loss,1407
51,0.17438624799251556,train_loss,1407
52,0.2006760835647583,train_loss,1407
53,0.1716243177652359,train_loss,1407
54,0.18562379479408264,train_loss,1407
55,0.1486022025346756,train_loss,1407
56,0.11100910604000092,train_loss,1407
57,0.16496343910694122,train_loss,1407
58,0.14579477906227112,train_loss,1407
59,0.1791602373123169,train_loss,1407
60,0.2031082808971405,train_loss,1407
61,0.19941291213035583,train_loss,1407
62,0.13315188884735107,train_loss,1407
63,0.20212917029857635,train_loss,1407
64,0.08296725898981094,train_loss,1407
65,0.07531072199344635,train_loss,1407
