epoch,loss,monitored,best_epoch
1,0.6707366108894348,train_loss,1498
2,0.6408628821372986,train_loss,1498
3,0.14189983904361725,train_loss,1498
4,0.32482749223709106,train_loss,1498
5,0.07526225596666336,train_loss,1498
6,0.04231199622154236,train_loss,1498
7,0.034196071326732635,train_loss,1498
8,0.534485399723053,train_loss,1498
9,0.13024616241455078,train_loss,1498
10,0.1435718983411789,train_loss,1498
11,0.16812075674533844,train_loss,1498
12,0.0344117246568203,train_loss,1498
13,0.05983373150229454,train_loss,1498
14,0.01176379807293415,train_loss,1498
15,0.04666299372911453,train_loss,1498
16,0.006493215449154377,train_loss,1498
17,0.8127850294113159,train_loss,1498
18,0.9920839667320251,train_loss,1498
19,0.03213401511311531,train_loss,1498
20,0.20075367391109467,train_loss,1498
21,0.060351356863975525,train_loss,1498
22,0.019863924011588097,train_loss,1498
23,0.005144271068274975,train_loss,1498
24,0.003444739617407322,train_loss,1498
25,0.004468005616217852,train_loss,1498
26,0.022457227110862732,train_loss,1498
27,0.11529220640659332,train_loss,1498
28,0.008047669194638729,train_loss,1498
29,0.0201855655759573,train_loss,1498
30,0.008396564982831478,train_loss,1498
31,0.009786183945834637,train_loss,1498
32,0.004788171034306288,train_loss,1498
33,0.009233126416802406,train_loss,1498
34,0.006534133106470108,train_loss,1498
35,0.057447489351034164,train_loss,1498
36,0.019358476623892784,train_loss,1498
37,0.006047636270523071,train_loss,1498
38,0.008525845594704151,train_loss,1498
39,0.015233814716339111,train_loss,1498
40,0.02321765199303627,train_loss,1498
41,0.009100100956857204,train_loss,1498
42,0.2273970991373062,train_loss,1498
43,0.0014745787484571338,train_loss,1498
44,0.06311285495758057,train_loss,1498
45,0.007808475289493799,train_loss,1498
46,0.04357977584004402,train_loss,1498
47,0.050492413341999054,train_loss,1498
48,0.010354647412896156,train_loss,1498
49,0.01099103782325983,train_loss,1498
50,0.01933058351278305,train_loss,1498
51,0.09851683676242828,train_loss,1498
52,0.00573299266397953,train_loss,1498
53,0.08483126014471054,train_loss,1498
54,0.01607459969818592,train_loss,1498
55,0.08169223368167877,train_loss,1498
56,0.0011082491837441921,train_loss,1498
57,0.0009543370106257498,train_loss,1498
58,0.000997811323031783,train_loss,1498
59,0.0008862543036229908,train_loss,1498
60,0.0008751933928579092,train_loss,1498
61,0.0007164242560975254,train_loss,1498
62,0.000726897269487381,train_loss,1498
63,0.0006265784031711519,train_loss,1498
64,0.0005629673833027482,train_loss,1498
65,0.0005023338599130511,train_loss,1498
66,0.0005302035133354366,train_loss,1498
67,0.0005144154420122504,train_loss,1498
68,0.0005125552997924387,train_loss,1498
69,0.0003133862919639796,train_loss,1498
70,0.00036880176048725843,train_loss,1498
71,0.000308448972646147,train_loss,1498
72,0.00022715369414072484,train_loss,1498
73,0.00016291553038172424,train_loss,1498
74,0.02361588552594185,train_loss,1498
75,0.017185049131512642,train_loss,1498
76,0.014145905151963234,train_loss,1498
77,0.002450767904520035,train_loss,1498
78,0.0065283989533782005,train_loss,1498
79,0.004198266658931971,train_loss,1498
80,0.02529476024210453,train_loss,1498
81,0.0008822230156511068,train_loss,1498
82,0.001960917841643095,train_loss,1498
83,0.0007101921946741641,train_loss,1498
84,0.0005440355162136257,train_loss,1498
85,0.0007239364203996956,train_loss,1498
86,0.0003942570765502751,train_loss,1498
87,0.0005277384771034122,train_loss,1498
88,0.0005058127571828663,train_loss,1498
89,0.0004175359208602458,train_loss,1498
90,0.0004100152291357517,train_loss,1498
91,0.0011553185759112239,train_loss,1498
92,0.0031481152400374413,train_loss,1498
93,0.00028521972126327455,train_loss,1498
94,0.0001782468316378072,train_loss,1498
95,0.00014526561426464468,train_loss,1498
96,0.0001240735437022522,train_loss,1498
97,0.00020491471514105797,train_loss,1498
98,8.440933015663177e-05,train_loss,1498
99,8.748599793761969e-05,train_loss,1498
100,9.505677735432982e-05,train_loss,1498
101,9.600142948329449e-05,train_loss,1498
102,8.09073681011796e-05,train_loss,1498
103,8.411872840952128e-05,train_loss,1498
104,8.947227615863085e-05,train_loss,1498
105,7.5554518844001e-05,train_loss,1498
106,6.53130846330896e-05,train_loss,1498
107,0.00014548085164278746,train_loss,1498
108,0.00042752415174618363,train_loss,1498
109,2.43381929397583,train_loss,1498
110,0.002377287484705448,train_loss,1498
111,0.04853411763906479,train_loss,1498
112,0.01585220918059349,train_loss,1498
113,0.022638371214270592,train_loss,1498
114,0.009587503969669342,train_loss,1498
115,0.005654880311340094,train_loss,1498
116,0.0037903613410890102,train_loss,1498
117,0.0042946478351950645,train_loss,1498
118,0.007200451567769051,train_loss,1498
119,0.20472611486911774,train_loss,1498
120,0.34423989057540894,train_loss,1498
121,0.05574803426861763,train_loss,1498
122,0.00725080631673336,train_loss,1498
123,0.002227052813395858,train_loss,1498
124,0.007188720628619194,train_loss,1498
125,0.037758514285087585,train_loss,1498
126,0.00550249544903636,train_loss,1498
127,1.8319203853607178,train_loss,1498
128,0.002954730298370123,train_loss,1498
129,0.0008331720600835979,train_loss,1498
130,0.0014644345501437783,train_loss,1498
131,0.024725643917918205,train_loss,1498
132,0.09314163774251938,train_loss,1498
133,0.04638254642486572,train_loss,1498
134,0.008298037573695183,train_loss,1498
135,0.001115613617002964,train_loss,1498
136,0.0025410824455320835,train_loss,1498
137,0.003211197443306446,train_loss,1498
138,0.0016644308343529701,train_loss,1498
139,0.0009487844072282314,train_loss,1498
140,0.0006496689165942371,train_loss,1498
141,0.008651797659695148,train_loss,1498
142,1.6454230546951294,train_loss,1498
143,0.3263280987739563,train_loss,1498
144,0.017397798597812653,train_loss,1498
145,0.006546631921082735,train_loss,1498
146,0.03678516298532486,train_loss,1498
147,0.3798498809337616,train_loss,1498
148,0.049998920410871506,train_loss,1498
149,0.08017795532941818,train_loss,1498
150,0.03658265620470047,train_loss,1498
151,0.3099002540111542,train_loss,1498
152,0.015181423164904118,train_loss,1498
153,0.006296131294220686,train_loss,1498
154,0.004061110317707062,train_loss,1498
155,0.0019256717059761286,train_loss,1498
156,0.0012467365013435483,train_loss,1498
157,0.0009476842824369669,train_loss,1498
158,0.0006428799242712557,train_loss,1498
