metric,value
model,seanet_bottleneck_topk__mstcn_sep_bottleneck_topk_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.938
webtraffic_ndcg,0.7768
params,41324
model_size_mb,1.428
