dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
WordSynonyms,0.7194,0.7417,-0.0223,loss,1.1877,1.8361,-0.6484,win,0.7713,3.0425,-2.2712,loss,425642,4.1172
Worms,0.6753,0.7662,-0.0909,loss,1.0837,1.5027,-0.419,win,1.1387,3.1133,-1.9746,loss,423062,4.1073
WormsTwoClass,0.6753,0.7065,-0.0312,loss,0.6762,1.8387,-1.1625,win,1.315,4.3009,-2.9859,loss,422675,4.1059
Yoga,0.873,0.9031,-0.0301,loss,0.3156,0.5236,-0.208,win,1.3189,6.6224,-5.3035,loss,422675,4.1059
ACSF1,0.86,,,no_baseline,0.5694,,,no_baseline,0.5613,,,no_baseline,423707,4.1098
AllGestureWiimoteX,0.7271,,,no_baseline,0.9599,,,no_baseline,1.1585,,,no_baseline,423707,4.1098
AllGestureWiimoteY,0.7814,,,no_baseline,0.804,,,no_baseline,1.6473,,,no_baseline,423707,4.1098
AllGestureWiimoteZ,0.7071,,,no_baseline,0.9736,,,no_baseline,1.7559,,,no_baseline,423707,4.1098
BME,1.0,,,no_baseline,0.1116,,,no_baseline,1.235,,,no_baseline,422804,4.1064
Crop,0.7164,,,no_baseline,0.9501,,,no_baseline,0.0674,,,no_baseline,425513,4.1167
DodgerLoopDay,0.4875,,,no_baseline,1.391,,,no_baseline,0.9516,,,no_baseline,423320,4.1083
DodgerLoopGame,0.9275,,,no_baseline,0.2441,,,no_baseline,1.4635,,,no_baseline,422675,4.1059
DodgerLoopWeekend,0.9565,,,no_baseline,0.2048,,,no_baseline,0.7559,,,no_baseline,422675,4.1059
EOGHorizontalSignal,0.5442,,,no_baseline,1.4609,,,no_baseline,1.6218,,,no_baseline,423965,4.1108
EOGVerticalSignal,0.4503,,,no_baseline,1.8316,,,no_baseline,1.851,,,no_baseline,423965,4.1108
EthanolLevel,0.826,,,no_baseline,0.498,,,no_baseline,-6.0431,,,no_baseline,422933,4.1068
FreezerRegularTrain,0.9972,,,no_baseline,0.0772,,,no_baseline,0.8421,,,no_baseline,422675,4.1059
FreezerSmallTrain,0.8611,,,no_baseline,0.331,,,no_baseline,1.1393,,,no_baseline,422675,4.1059
Fungi,0.9785,,,no_baseline,0.201,,,no_baseline,1.439,,,no_baseline,424739,4.1137
GestureMidAirD1,0.6846,,,no_baseline,1.0325,,,no_baseline,1.8689,,,no_baseline,425771,4.1177
GestureMidAirD2,0.6154,,,no_baseline,1.0294,,,no_baseline,1.2457,,,no_baseline,425771,4.1177
GestureMidAirD3,0.3154,,,no_baseline,2.1788,,,no_baseline,1.5209,,,no_baseline,425771,4.1177
GesturePebbleZ1,0.907,,,no_baseline,0.3916,,,no_baseline,1.4691,,,no_baseline,423191,4.1078
GesturePebbleZ2,0.8481,,,no_baseline,0.5628,,,no_baseline,1.4737,,,no_baseline,423191,4.1078
GunPointAgeSpan,0.9842,,,no_baseline,0.1112,,,no_baseline,1.0162,,,no_baseline,422675,4.1059
GunPointMaleVersusFemale,0.9905,,,no_baseline,0.0946,,,no_baseline,0.325,,,no_baseline,422675,4.1059
GunPointOldVersusYoung,0.9365,,,no_baseline,0.2052,,,no_baseline,0.6434,,,no_baseline,422675,4.1059
HouseTwenty,0.9748,,,no_baseline,0.1349,,,no_baseline,0.966,,,no_baseline,422675,4.1059
InsectEPGRegularTrain,0.996,,,no_baseline,0.1442,,,no_baseline,1.4491,,,no_baseline,422804,4.1064
