metric,value
model,seanet_topk_thresh__sea_mstcn_sep_bottleneck__sea_topk_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.93
webtraffic_ndcg,0.7443
params,41324
model_size_mb,1.428
