metric,value
model,seanet_spiketrend_gatedattn__sea_mstcn_sep_spiketrend__sea_gated_attention
millet85_datasets,85
mean_acc_ours,0.8039
mean_acc_millet,0.8445
acc_win_tie_loss,15/14/56
mean_loss_ours,0.5537
mean_loss_millet,1.2241
loss_win_tie_loss,58/1/26
mean_aopcr_ours,0.6818
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,4/0/81
overall_ucr_datasets,128
overall_mean_acc,0.8007
overall_mean_loss,0.6124
overall_mean_aopcr,0.8118
webtraffic_acc,0.93
webtraffic_ndcg,0.7205
params,67540
model_size_mb,1.528
