metric,value
model,seanet_recon_topk__mstcn_sep_recon_topk_conjunctive
millet85_datasets,85
mean_acc_ours,0.8063
mean_acc_millet,0.8445
acc_win_tie_loss,19/19/47
mean_loss_ours,0.553
mean_loss_millet,1.2241
loss_win_tie_loss,59/0/26
mean_aopcr_ours,1.2221
mean_aopcr_millet,4.5532
aopcr_win_tie_loss,5/0/80
overall_ucr_datasets,128
overall_mean_acc,0.8046
overall_mean_loss,0.5947
overall_mean_aopcr,1.3165
webtraffic_acc,0.94
webtraffic_ndcg,0.6984
params,62925
model_size_mb,1.51
