[log] command 'leaderboard' started at 2026-08-09_13-00-56
[log] a copy of everything below is being saved to: results\SEA_NET\logs\leaderboard_2026-08-09_13-00-56.log

Leaderboard: 66 model(s), best WebTraffic accuracy first (66 of them also finished the full UCR sweep; '-' means not run yet).
    # model                                                     web_acc  web_ndcg   params  ucr85_n  ucr85_acc  ucr85_aopcr
   53 seanet_gated_last_attnmax__sea_mstcn_sep_gated__sea_atte   0.8540    0.6680    61750        0          -            -
   54 seanet_spiketrend_attnmax__sea_mstcn_sep_spiketrend__sea   0.8540    0.6438    67030        0          -            -
   55 seanet_bottleneck_shallow__sea_mstcn_sep_bottleneck__sea   0.8460    0.6240    21548        0          -            -
   56 seanet_gated_pyramid__sea_multiscale_pyramid__sea_topk_c   0.8320    0.5910    62781        0          -            -
   57 seanet_gated_mean_attnmax__sea_mstcn_sep_gated__sea_atte   0.8320    0.7042    61750        0          -            -
   58 seanet_bottleneck_dualstream__sea_mstcn_sep_bottleneck__   0.8240    0.6516    41845        0          -            -
   59 seanet_bottleneck_attnmax__sea_mstcn_sep_bottleneck__sea   0.8160    0.6101    41334        0          -            -
   60 seanet_bottleneck_pyramid__sea_multiscale_pyramid__sea_t   0.7860    0.5690    42365        0          -            -
   61 resnet__mil_resnet__mil_conjunctive                        0.7720    0.5540   506331       85     0.8146       1.3301
   62 fcn__mil_fcn__mil_conjunctive                              0.7420    0.5327   267035       85     0.8141       1.3777
   63 seanet_gated_last_dualstream__sea_mstcn_sep_gated__sea_d   0.7360    0.6373    62261        0          -            -
   64 seanet_slim_attnmax__sea_mstcn_sep__sea_attention_max      0.7140    0.5318    57590        0          -            -
   65 seanet_bottleneck_mschan_pyramid__sea_multiscale_pyramid   0.6960    0.6531    28441        0          -            -
   66 seanet_spiketrend_dualstream__sea_mstcn_sep_spiketrend__   0.5560    0.5099    67541        0          -            -
      MILLET (paper, published)                                  0.9240    0.6744        -        -     0.8445       4.5532
  wrote results\SEA_NET\leaderboard.csv

[log] finished; full output saved to results\SEA_NET\logs\leaderboard_2026-08-09_13-00-56.log
