[log] command 'leaderboard' started at 2026-07-27_14-13-30
[log] a copy of everything below is being saved to: results\SEA_NET\logs\leaderboard_2026-07-27_14-13-30.log

Leaderboard: 57 model(s), best WebTraffic accuracy first (57 of them also finished the full UCR sweep; '-' means not run yet).
    # model                                                     web_acc  web_ndcg   params  ucr85_n  ucr85_acc  ucr85_aopcr
    1 seanet_gated_mean_topk__mstcn_sep_gated_topk_conjunctive   0.9540    0.7721    61740       85     0.8083       1.0636
    2 seanet_conjunctive__mstcn_sep_conjunctive                  0.9540    0.6983   269083       85     0.8238       0.6257
    3 seanet_gated_max_topk__mstcn_sep_gated_topk_conjunctive    0.9520    0.7185    61740       85     0.8108       0.9360
    4 seanet_spiketrend_topk__mstcn_sep_spiketrend_topk_conjun   0.9500    0.7560    67020        0          -            -
    5 seanet_classwise__mstcn_sep_classwise_conjunctive          0.9460    0.6860   269164       85     0.8292       0.5642
    6 seanet_recon_adaptive__mstcn_sep_recon_adaptive_classwis   0.9460    0.7679    62935       85     0.8140       1.0913
    7 seanet_inputgate_topk__mstcn_sep_inputgate_topk_conjunct   0.9460    0.7482    58092       85     0.8131       0.9636
    8 seanet_gated_max__mstcn_sep_gated_classwise_conjunctive    0.9440    0.5924    61740       85     0.8237       0.6192
    9 seanet_gated_last__mstcn_sep_gated_classwise_conjunctive   0.9420    0.7417    61740       85     0.7888       0.5350
   10 seanet__mstcn_sep_additive                                 0.9420    0.7291   269083       85     0.8298       0.5511
   11 seanet_gated_last_topk__mstcn_sep_gated_topk_conjunctive   0.9420    0.7483    61740       85     0.8015       0.9674
   12 seanet_bottleneck_softmax__mstcn_sep_bottleneck_softmax_   0.9400    0.7401    41325       85     0.8106       0.7592
   13 seanet_recon_topk__mstcn_sep_recon_topk_conjunctive        0.9400    0.6984    62925       85     0.8063       1.2221
   14 seanet_inputgate_adaptive__mstcn_sep_inputgate_adaptive_   0.9380    0.7767    58102        0          -            -
   15 seanet_bottleneck_topk__mstcn_sep_bottleneck_topk_conjun   0.9380    0.7768    41324        0          -            -
   16 seanet_gated_last_adaptive__mstcn_sep_gated_adaptive_cla   0.9380    0.7929    61750        0          -            -
   17 seanet_spiketrend_adaptive__mstcn_sep_spiketrend_adaptiv   0.9340    0.7471    67030        0          -            -
   18 seanet_recon_softmax__mstcn_sep_recon_softmax_conjunctiv   0.9320    0.7230    62926        0          -            -
   19 seanet_slim_topk__mstcn_sep_topk_conjunctive               0.9320    0.7776    57580        0          -            -
   20 seanet_spiketrend_gatedattn__mstcn_sep_spiketrend_gated_   0.9300    0.7205    67540       85     0.8039       0.6818
   21 seanet_slim_adaptive__mstcn_sep_adaptive_classwise         0.9300    0.7928    57590        0          -            -
   22 seanet_gated__mstcn_sep_gated_classwise_conjunctive        0.9300    0.6374    61740       85     0.7900       0.4856
   23 seanet_bottleneck_gatedattn__mstcn_sep_bottleneck_gated_   0.9300    0.7413    41844       85     0.8146       0.6877
   24 seanet_gated_last_softmax__mstcn_sep_gated_softmax_conju   0.9200    0.7378    61741        0          -            -
   25 seanet_gated_last_gatedattn__mstcn_sep_gated_gated_atten   0.9180    0.7570    62260       85     0.8048       0.4998
   26 seanet_acp__mstcn_sep_adaptive_classwise                   0.9180    0.6188   269174        0          -            -
   27 seanet_slim__mstcn_sep_classwise_conjunctive               0.9160    0.7185    57580        0          -            -
   28 seanet_inputgate__mstcn_sep_inputgate_classwise_conjunct   0.9140    0.7145    58092        0          -            -
   29 seanet_gated_max_softmax__mstcn_sep_gated_softmax_conjun   0.9140    0.7760    61741        0          -            -
   30 seanet_gated_mean_softmax__mstcn_sep_gated_softmax_conju   0.9120    0.7651    61741        0          -            -
   31 seanet_recon__mstcn_sep_recon_classwise_conjunctive        0.9100    0.6804    62925        0          -            -
   32 seanet_gated_max_adaptive__mstcn_sep_gated_adaptive_clas   0.9060    0.7286    61750        0          -            -
   33 seanet_spiketrend__mstcn_sep_spiketrend_classwise_conjun   0.9040    0.6985    67020        0          -            -
   34 seanet_bottleneck__mstcn_sep_bottleneck_classwise_conjun   0.9020    0.7325    41324        0          -            -
   35 seanet_gated_mean__mstcn_sep_gated_classwise_conjunctive   0.9020    0.7139    61740        0          -            -
   36 seanet_inputgate_softmax__mstcn_sep_inputgate_softmax_co   0.8940    0.6955    58093        0          -            -
   37 millet__inceptiontime_conjunctive                          0.8940    0.6711   423707        0          -            -
   38 seanet_recon_attnmax__mstcn_sep_recon_attention_max        0.8920    0.7245    62935        0          -            -
   39 seanet_slim_softmax__mstcn_sep_softmax_conjunctive         0.8900    0.7049    57581        0          -            -
   40 seanet_slim_gatedattn__mstcn_sep_gated_attention           0.8880    0.7101    58100        0          -            -
   41 seanet_gated_max_attnmax__mstcn_sep_gated_attention_max    0.8860    0.5754    61750        0          -            -
   42 seanet_softmax__mstcn_sep_softmax_conjunctive              0.8800    0.6045   269165        0          -            -
   43 seanet_spiketrend_softmax__mstcn_sep_spiketrend_softmax_   0.8780    0.6650    67021        0          -            -
   44 seanet_bottleneck_adaptive__mstcn_sep_bottleneck_adaptiv   0.8680    0.6805    41334        6     0.7772       0.8861
   45 seanet_slim_dualstream__mstcn_sep_dualstream_conjunctive   0.8600    0.7454    58101        0          -            -
   46 seanet_gated_mean_adaptive__mstcn_sep_gated_adaptive_cla   0.8600    0.7310    61750        0          -            -
   47 seanet_inputgate_attnmax__mstcn_sep_inputgate_attention_   0.8580    0.6997    58102        0          -            -
   48 seanet_gated_last_attnmax__mstcn_sep_gated_attention_max   0.8540    0.6680    61750        0          -            -
   49 seanet_spiketrend_attnmax__mstcn_sep_spiketrend_attentio   0.8540    0.6438    67030        0          -            -
   50 seanet_gated_mean_attnmax__mstcn_sep_gated_attention_max   0.8320    0.7042    61750        0          -            -
   51 seanet_bottleneck_dualstream__mstcn_sep_bottleneck_duals   0.8240    0.6516    41845        0          -            -
   52 seanet_bottleneck_attnmax__mstcn_sep_bottleneck_attentio   0.8160    0.6101    41334        0          -            -
   53 resnet__resnet_conjunctive                                 0.7720    0.5540   506331        0          -            -
   54 fcn__fcn_conjunctive                                       0.7420    0.5327   267035        0          -            -
   55 seanet_gated_last_dualstream__mstcn_sep_gated_dualstream   0.7360    0.6373    62261        0          -            -
   56 seanet_slim_attnmax__mstcn_sep_attention_max               0.7140    0.5318    57590        0          -            -
   57 seanet_spiketrend_dualstream__mstcn_sep_spiketrend_duals   0.5560    0.5099    67541        0          -            -
      MILLET (paper, published)                                  0.9240    0.6744        -        -     0.8445       4.5532
  wrote results\SEA_NET\leaderboard.csv

[log] finished; full output saved to results\SEA_NET\logs\leaderboard_2026-07-27_14-13-30.log
