[log] command 'leaderboard' started at 2026-07-28_12-05-05
[log] a copy of everything below is being saved to: results\SEA_NET\logs\leaderboard_2026-07-28_12-05-05.log

Leaderboard: 65 model(s), best WebTraffic accuracy first (65 of them also finished the full UCR sweep; '-' means not run yet).
    # model                                                     web_acc  web_ndcg   params  ucr85_n  ucr85_acc  ucr85_aopcr
   54 resnet__mil_resnet__mil_conjunctive                        0.7720    0.5540   506331        0          -            -
   55 millet__inceptiontime_conjunctive                          0.7520         -   493979       54     0.7783       0.0604
   56 fcn__mil_fcn__mil_conjunctive                              0.7420    0.5327   267035        0          -            -
   57 seanet_gated_last_dualstream__sea_mstcn_sep_gated__sea_d   0.7360    0.6373    62261        0          -            -
   58 seanet_acp__mstcn_sep_adaptive_classwise                   0.7340         -   272758       85     0.7959       0.3222
   59 seanet_softmax__mstcn_sep_softmax_conjunctive              0.7140         -   272749       53     0.7978       0.2256
   60 seanet_slim_attnmax__sea_mstcn_sep__sea_attention_max      0.7140    0.5318    57590        0          -            -
   61 seanet_conjunctive__mstcn_sep_conjunctive                  0.7140         -   272667       85     0.8003       0.2031
   62 seanet__mstcn_sep_additive                                 0.7040         -   272667       85     0.7988       0.2134
   63 resnet__resnet_conjunctive                                 0.5720         -   508635       84     0.8056       0.7005
   64 fcn__fcn_conjunctive                                       0.5660         -   271131       84     0.8029       0.6864
   65 seanet_spiketrend_dualstream__sea_mstcn_sep_spiketrend__   0.5560    0.5099    67541        0          -            -
      MILLET (paper, published)                                  0.9240    0.6744        -        -     0.8445       4.5532
  wrote results\SEA_NET\leaderboard.csv

[log] finished; full output saved to results\SEA_NET\logs\leaderboard_2026-07-28_12-05-05.log
