metric,value
model,seanet_gated_pyramid__sea_multiscale_pyramid__sea_topk_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.832
webtraffic_ndcg,0.591
params,62781
model_size_mb,1.517
