dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
MiddlePhalanxOutlineAgeGroup,0.5909,0.5221,0.0688,win,0.9359,4.9601,-4.0242,win,0.5978,0.9851,-0.3873,loss,40806,1.4259
MiddlePhalanxOutlineCorrect,0.8179,0.8103,0.0076,win,0.3915,1.2175,-0.826,win,0.6304,2.4532,-1.8228,loss,40732,1.4257
MiddlePhalanxTW,0.5714,0.5104,0.061,win,1.1031,4.0946,-2.9915,win,0.4293,3.4,-2.9707,loss,41028,1.4268
MoteStrain,0.8674,0.9018,-0.0344,loss,0.3162,0.6772,-0.361,win,0.4861,3.5563,-3.0702,loss,40732,1.4257
NonInvasiveFetalECGThorax1,0.8906,0.9511,-0.0605,loss,0.4227,0.2659,0.1568,loss,1.4595,-2.2634,3.7229,win,43692,1.4369
NonInvasiveFetalECGThorax2,0.8092,0.9526,-0.1434,loss,0.6794,0.2528,0.4266,loss,1.8257,2.9866,-1.1609,loss,43692,1.4369
OliveOil,0.4,0.8467,-0.4467,loss,1.2978,0.9378,0.36,loss,0.317,-3.6343,3.9513,win,40880,1.4262
OSULeaf,0.7975,0.9471,-0.1496,loss,0.6583,0.2378,0.4205,loss,1.5749,6.5343,-4.9594,loss,41028,1.4268
PhalangesOutlinesCorrect,0.7984,0.8303,-0.0319,loss,0.442,1.4708,-1.0288,win,-0.0057,2.0437,-2.0494,loss,40732,1.4257
Phoneme,0.1988,0.3006,-0.1018,loss,2.9693,7.0359,-4.0666,win,1.508,4.7834,-3.2754,loss,43470,1.436
Plane,1.0,1.0,0.0,tie,0.0757,0.0,0.0757,loss,0.6367,3.3933,-2.7566,loss,41102,1.427
ProximalPhalanxOutlineAgeGroup,0.8439,0.8537,-0.0098,loss,0.412,1.2906,-0.8786,win,-0.1564,5.6483,-5.8047,loss,40806,1.4259
ProximalPhalanxOutlineCorrect,0.8694,0.923,-0.0536,loss,0.3259,0.5448,-0.2189,win,0.4403,-3.5363,3.9766,win,40732,1.4257
ProximalPhalanxTW,0.7854,0.76,0.0254,win,0.628,2.0198,-1.3918,win,-0.0973,5.6975,-5.7948,loss,41028,1.4268
