Dataset,GAPResNet 0,GAPResNet 1,GAPResNet 2,GAPResNet 3,GAPResNet 4,InstanceResNet 0,InstanceResNet 1,InstanceResNet 2,InstanceResNet 3,InstanceResNet 4,AttentionResNet 0,AttentionResNet 1,AttentionResNet 2,AttentionResNet 3,AttentionResNet 4,AdditiveResNet 0,AdditiveResNet 1,AdditiveResNet 2,AdditiveResNet 3,AdditiveResNet 4,ConjunctiveResNet 0,ConjunctiveResNet 1,ConjunctiveResNet 2,ConjunctiveResNet 3,ConjunctiveResNet 4,GAPResNetEnsemble 0,InstanceResNetEnsemble 0,AttentionResNetEnsemble 0,AdditiveResNetEnsemble 0,ConjunctiveResNetEnsemble 0
Strawberry,1.3814989870297724e-05,1.7398120689904317e-05,3.795886732405052e-05,1.4791412468184715e-05,2.501587732695043e-05,1.7016178389894776e-05,6.373316136887297e-05,8.671792784298304e-06,1.4327118151413742e-05,1.9428776795393787e-05,1.3607575056084896e-05,7.605168775626225e-06,4.861879915551981e-06,9.766738912730943e-06,4.636526864487678e-05,1.9697819880093448e-05,1.1980390809185336e-05,2.262128145957832e-05,2.454222703818232e-05,5.1257839004392736e-06,1.6517155017936602e-05,3.974229912273586e-06,5.924623474129476e-05,9.160289664578158e-06,1.9018418242922053e-05,1.4246974387788214e-05,1.0981697414536027e-05,7.569525678263744e-06,9.012629561766516e-06,9.0638695837697e-06
SwedishLeaf,1.4850954812573036e-06,4.445640570338583e-06,2.4468154151691124e-06,3.4779650377458893e-06,2.9074712983856443e-06,2.84021348306851e-06,9.968202903110068e-07,1.8672269561648136e-06,2.572958919699886e-06,1.08098311102367e-06,1.6119295196403982e-06,1.24523489830608e-06,2.052262061624788e-06,1.89276693163265e-06,2.3135585252020974e-06,2.8297170047153486e-06,1.771666802596883e-06,1.618112946744077e-06,1.2519268466348876e-06,2.871224523914861e-06,2.728093477344373e-06,2.1011539956816705e-06,1.9845683709718287e-06,1.3363286370804417e-06,1.7761935851012822e-06,4.732596607937012e-07,4.1985384768850054e-07,3.87667711265749e-07,3.075595316204272e-07,3.302089339740633e-07
Symbols,3.195933459210209e-05,0.0001459748600609,3.336311783641577e-05,6.355549703584984e-05,0.0001315494009759,6.253548781387508e-05,0.0001268896739929,0.0001179573955596,0.000160252689966,8.702906779944897e-05,7.36092624720186e-05,0.0001010763662634,2.600122388685122e-05,6.399553967639804e-05,1.852925015555229e-05,6.551909609697759e-05,4.649797847378068e-05,7.245833694469184e-05,4.621404514182359e-05,2.510885497031268e-05,0.0001602222182555,5.665408389177173e-05,7.452878344338387e-05,2.622593001433416e-06,4.353476015239721e-06,5.172627061256208e-05,7.97697066445835e-05,2.345460779906716e-05,2.243862945761066e-05,1.1968376384174915e-05
SyntheticControl,3.973642748178463e-09,4.6491603455933734e-08,3.099440704090739e-08,6.357825554914598e-08,4.808106268683333e-08,1.108645690806043e-07,2.9245958899082325e-07,3.306060989416437e-07,2.797441709390114e-07,9.21884790727745e-08,3.7749583015056494e-08,2.80141080111207e-07,6.357827686542805e-08,1.5497205296810534e-08,4.847841950095244e-08,1.5894567440000174e-08,1.4185889085638337e-07,3.2186495246833147e-08,2.3841854712713946e-08,3.93390564568108e-08,5.165735394996318e-09,1.756347955961246e-07,1.3788530850433744e-07,2.20536705342056e-07,1.454349103369168e-07,1.7086662751353288e-08,1.2159340201378654e-07,3.2583859166379625e-08,2.106030549953175e-08,4.768369876728684e-08
ToeSegmentation1,3.4570680895740225e-07,2.5451058718317654e-06,1.4603133990931388e-07,3.337858913710079e-07,9.149301263278176e-07,1.0192381978413325e-06,1.20401216463506e-06,6.720239525748184e-06,1.6748863345128484e-06,3.606079133078311e-07,1.5884612594163627e-06,1.2010316368105125e-06,8.732071137274033e-07,1.579522717065629e-07,1.576540512360225e-06,2.0623128875740804e-06,2.419940301479073e-06,3.0576968583773123e-06,6.96174811309902e-06,1.093743435376382e-06,5.185598865864449e-07,1.0699013728299178e-06,1.1324863180561806e-06,3.766993813769659e-06,9.65594153967686e-07,3.606079701512499e-07,9.864556886896023e-07,6.705518558192125e-07,1.7493924815426e-06,8.374445314984769e-07
ToeSegmentation2,4.635912773665041e-07,1.3245475827261544e-08,3.31466776515299e-06,3.2782138532638783e-06,8.344636057699972e-07,1.0099428436660672e-05,3.65241544386663e-06,2.2517237994179595e-06,5.208737093198579e-06,6.056380698282737e-06,1.1357961966496075e-06,1.5331598888224107e-06,7.251891247506137e-07,8.013483920876752e-07,3.3974440611928003e-06,2.933863925136393e-06,1.6424341993115377e-06,3.97364090076735e-07,7.914165962574771e-07,5.311388122208882e-06,5.861118097527651e-07,1.029465056490153e-05,4.93393770284456e-07,3.3113689568153866e-08,1.4371287306857994e-06,4.635912773665041e-07,3.394137593204505e-06,8.477093160763616e-07,1.2550071915029548e-06,5.265073355076311e-07
Trace,3.492829705464829e-07,6.628030746469449e-07,1.1205672478808992e-07,3.527384251356125e-06,4.799334419658408e-06,2.053968501058989e-06,4.911419182462851e-07,7.176392955443589e-07,4.702776550402632e-06,8.642660418445303e-07,1.9466829144221265e-06,3.4832787605409976e-06,5.842407517775428e-06,3.6108374388277298e-06,2.21966979552235e-06,1.6510452951479238e-06,7.586409992654808e-06,1.86561942427943e-06,2.257814685435733e-06,2.9265729608596303e-06,2.012246341109858e-06,2.0933084670105018e-06,2.925382659668685e-06,1.256463406207331e-06,2.1624503006023588e-06,6.437294928218762e-07,1.1360624512235518e-06,2.439015133859357e-06,2.175562258344144e-06,1.845354745455552e-06
TwoLeadECG,3.6281083026779015e-08,0.0,5.183012241616325e-09,3.679937492506724e-07,5.7013131993244335e-08,5.1830120639806416e-08,7.256216605355803e-08,5.1830120639806416e-08,1.5549035836670555e-08,5.7013131993244335e-08,0.0,5.183011708709274e-08,1.5549035836670555e-08,0.0,2.850656244390848e-07,0.0,0.0,0.0,2.073204719010846e-08,0.0,8.292818876043384e-08,4.146409438021692e-08,1.0884324552762337e-07,0.0,0.0,2.5915060319903205e-08,3.109807167334111e-08,5.183012241616325e-09,0.0,1.5549035836670555e-08
TwoPatterns,1.192092757840157e-09,2.264976206589608e-09,8.344649971014912e-10,5.96046378920078e-10,1.192092757840157e-09,7.15255688010785e-10,1.4305113760215702e-09,1.8715855532036585e-08,1.9550316920913253e-08,4.529951969090007e-09,1.8000596568867877e-08,4.410743326133115e-09,5.245208267723456e-09,3.0398357608873994e-08,8.344649415903405e-09,1.8358223385916972e-08,3.5762784400539245e-10,0.0,8.344649415903405e-09,3.814697002724188e-09,1.8000593016154198e-08,8.463858947038716e-09,1.5497206851122771e-09,1.43051137602157e-09,1.907348501362094e-09,0.0,4.768371253405235e-10,3.933906089770289e-09,4.768371253405235e-10,5.96046378920078e-10
UWaveGestureLibraryAll,3.124814384136698e-06,1.1773206551879412e-06,2.05075502890395e-06,3.716722403623862e-06,1.8893684909926376e-06,5.163945843378315e-06,5.978274657536531e-06,3.4435809084243374e-06,4.031082880828762e-06,4.395764790388057e-06,7.388546237052651e-06,4.085997716174461e-06,3.171381877109525e-06,3.321981012049946e-06,4.663450908992672e-06,3.2782243124529487e-06,1.8656958218343789e-06,3.057099547731923e-06,7.506113888666732e-06,4.055169483763166e-06,4.195816018182086e-06,3.4913630315713817e-06,3.202618927389267e-06,3.0886283184372587e-06,1.8809971606970064e-06,1.115853592636995e-06,2.418355052213883e-06,1.5431943438670714e-06,1.5859012592045474e-06,1.103878616959264e-06
UWaveGestureLibraryX,3.5091584322799463e-06,2.778892167043523e-06,3.275408289482584e-06,2.6877628442889545e-06,2.7230094019614626e-06,3.4657466585485963e-06,3.4853435408876976e-06,2.5541849026922137e-06,4.082384748471668e-06,2.138677018592716e-06,2.942786750281812e-06,2.1498519799934e-06,3.2763257422629977e-06,3.828157787211239e-06,3.7697907373512862e-06,4.849030574405333e-06,4.350164999777917e-06,4.635934601537883e-06,5.811659775645239e-06,2.1989551441947697e-06,4.4225744204595685e-06,3.994896360381972e-06,4.030826403322863e-06,1.5395968375742086e-06,5.404775038186926e-06,1.0353592188039329e-06,8.848847983244923e-07,1.1967357522735256e-06,1.263395688511082e-06,1.3931118019172573e-06
UWaveGestureLibraryY,6.334684712783201e-06,5.207230969972443e-06,4.065007487952244e-06,7.364325028902385e-06,6.840058176749153e-06,4.45264140580548e-06,3.269486342105665e-06,3.769129307329422e-06,5.343139946489828e-06,3.759652372536948e-06,8.048397830862086e-06,9.79364358499879e-06,6.133960141596617e-06,4.765475750900805e-06,4.327644546719967e-06,1.1367765182512812e-05,6.355302502925042e-06,4.843566330237081e-06,9.60417128226254e-06,8.659626473672688e-06,1.0420474609418306e-05,6.990850579313701e-06,4.368489044281887e-06,1.0051945537270512e-05,8.26525592856342e-06,2.598521177787916e-06,1.164274976872548e-06,2.576932502051932e-06,2.4893849968066206e-06,2.6078098471771227e-06
UWaveGestureLibraryZ,4.2957899495377205e-06,2.4989624307636404e-06,3.277527866885066e-06,3.2512082270841347e-06,3.16978139380808e-06,4.046267349622212e-06,3.4677771054703044e-06,2.9821580938005354e-06,2.525956688259612e-06,1.6898004560061963e-06,2.577598479547305e-06,1.5812371430001804e-06,1.89482273071917e-06,2.581460194051033e-06,2.49164190790907e-06,3.96533187085879e-06,3.3687890663713915e-06,3.847380412480561e-06,5.491564024850959e-06,3.880288659274811e-06,2.2558876935363514e-06,2.800045649564709e-06,4.838780569116352e-06,3.7707090996264014e-06,2.572406174294884e-06,1.4615000054618577e-06,9.261287914341664e-07,7.982726515365357e-07,1.4970154325055771e-06,1.1492444400573731e-06
Wafer,3.337859544316757e-09,9.894345787131442e-09,1.3709060553424024e-08,1.5497203520453695e-09,6.9141323777444086e-09,8.821480435017293e-09,0.0,1.4305113760215702e-09,5.006788761363623e-09,1.2159339313200236e-08,7.629390452734697e-09,2.145766675454297e-09,2.5033943806818115e-09,2.0503975406427344e-08,1.0490412094554813e-08,6.198880520003058e-09,4.243841189577324e-08,8.7022762329525e-09,2.384185626702617e-10,7.271763191596392e-09,7.1525545486395e-09,1.788139081249085e-09,1.5735622582724318e-08,8.7022762329525e-09,3.457066632961414e-09,4.768371253405235e-10,4.768371253405235e-10,2.622603689772518e-09,2.384185515680315e-09,1.668929994202983e-09
Wine,0.0371419638395309,0.0108344433829188,0.020190630108118,0.0388698577880859,0.0087164100259542,0.0941163748502731,0.042073305696249,0.0282106194645166,0.0093363793566823,0.0244741030037403,0.0533879958093166,0.0044157728552818,0.0148135172203183,0.0217800717800855,0.0152445780113339,0.0472027771174907,0.0555361881852149,0.0490676574409008,0.0057592005468904,0.012539992108941,0.0109929079189896,0.030724985525012,0.0452775545418262,0.1006891503930091,0.039758238941431,0.0140131469815969,0.0236763264983892,0.0126274228096008,0.0155549589544534,0.0276196915656328
WordSynonyms,9.882213817036243e-06,8.710678230272606e-06,1.3484313058143016e-05,7.436904525093269e-06,3.898167960869614e-06,7.244031621667091e-06,9.292889444623142e-06,3.357493142175372e-06,6.215366283868207e-06,8.036502549657598e-06,9.06339664652478e-06,7.1953400038182735e-06,1.209130095958244e-05,4.7960265874280594e-06,1.7654625480645336e-05,1.725199763313867e-05,8.54102381708799e-06,7.286432719411096e-06,9.289719855587464e-06,6.489942279586103e-06,7.244031621667091e-06,9.68087351793656e-06,1.383922244713176e-05,1.3229811884230004e-05,4.67146264782059e-06,5.083559699414764e-06,4.138823896937538e-06,5.536280241358327e-06,5.822911589348223e-06,5.7836296036839485e-06
Worms,0.0001133710175054,7.451764395227656e-05,9.96909075183794e-05,8.873540355125442e-05,7.333677785936743e-05,0.0001271402579732,0.0001018066541291,0.0001050426581059,0.0001307176571572,7.022143108770251e-05,0.0001705764589132,0.0001048595731845,0.0002106027386616,8.251521649071947e-05,0.0001160239480668,5.976828106213361e-05,0.0001303430908592,0.000122935292893,0.0001193791322293,0.0001292678352911,0.0001118379514082,0.000142085715197,0.0001285483303945,0.0001210596237797,9.015682007884608e-05,5.48731695744209e-05,6.828401819802821e-05,8.520056144334376e-05,6.476425187429413e-05,7.265635213116184e-05
WormsTwoClass,4.4597712985705584e-05,5.042360135121271e-05,2.9641500077559613e-05,3.251735324738547e-05,0.0001701810688246,4.949964568368159e-05,6.453615060308948e-05,7.033126894384623e-05,3.265146733610891e-05,0.0001208673711516,2.7957719794358127e-05,5.369586142478511e-05,3.5689459764398634e-05,2.542755100876093e-05,5.266011066851206e-05,6.208209379110485e-05,7.248175097629428e-05,0.0001774699048837,2.856536411854904e-05,5.290213812259026e-05,2.5447832740610465e-05,9.251373558072372e-05,5.51573648408521e-05,3.694009137689136e-05,4.524656469584443e-05,2.8106838726671413e-05,3.4939555916935205e-05,2.1763158656540327e-05,4.171326509094797e-05,2.7909358323086053e-05
Yoga,1.0420946637168528e-05,4.279565928300144e-06,2.8288150133448653e-06,2.1946291326457867e-06,4.203665866953088e-06,2.566159309935756e-06,2.3984696326806443e-06,4.421807261678623e-06,3.141136176054715e-06,1.11018753159442e-05,4.972568149241852e-06,3.337027010275051e-06,3.725263240994536e-06,6.229010523384204e-06,7.738150998193305e-06,1.5851130228838883e-05,4.433350113686174e-06,2.8506719900178723e-06,4.955852546117967e-06,6.237745310500031e-06,1.143213125942566e-06,9.930689884640742e-06,2.480725925124716e-06,3.6978342450311175e-06,9.230604518961629e-06,2.659939582372317e-06,2.13740941035212e-06,2.8892222871945705e-06,3.4391671306366334e-06,2.1652281247952487e-06
