metric,value
model,seanet_gated_mschan__sea_multiscale_channels__sea_topk_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.948
webtraffic_ndcg,0.7171
params,67592
model_size_mb,1.527
