metric,value
model,seanet_gated_last_adaptive__mstcn_sep_gated_adaptive_classwise
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.938
webtraffic_ndcg,0.7929
params,61750
model_size_mb,1.503
