metric,value
model,seanet_spiketrend_softmax__sea_mstcn_sep_spiketrend__sea_softmax_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.878
webtraffic_ndcg,0.665
params,67021
model_size_mb,1.526
