metric,value
model,seanet_slim_softmax__sea_mstcn_sep__sea_softmax_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.89
webtraffic_ndcg,0.7049
params,57581
model_size_mb,1.485
