metric,value
model,seanet_slim__sea_mstcn_sep__sea_classwise_conjunctive
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.916
webtraffic_ndcg,0.7185
params,57580
model_size_mb,1.484
