Dataset,GAPInceptionTime 0,GAPInceptionTime 1,GAPInceptionTime 2,GAPInceptionTime 3,GAPInceptionTime 4,InstanceInceptionTime 0,InstanceInceptionTime 1,InstanceInceptionTime 2,InstanceInceptionTime 3,InstanceInceptionTime 4,AttentionInceptionTime 0,AttentionInceptionTime 1,AttentionInceptionTime 2,AttentionInceptionTime 3,AttentionInceptionTime 4,AdditiveInceptionTime 0,AdditiveInceptionTime 1,AdditiveInceptionTime 2,AdditiveInceptionTime 3,AdditiveInceptionTime 4,ConjunctiveInceptionTime 0,ConjunctiveInceptionTime 1,ConjunctiveInceptionTime 2,ConjunctiveInceptionTime 3,ConjunctiveInceptionTime 4,GAPInceptionTimeEnsemble 0,InstanceInceptionTimeEnsemble 0,AttentionInceptionTimeEnsemble 0,AdditiveInceptionTimeEnsemble 0,ConjunctiveInceptionTimeEnsemble 0
ProximalPhalanxOutlineCorrect,9.70558403423638e-07,3.939855730550336e-07,5.938583171882783e-07,4.5776275214848283e-07,7.377037718470092e-07,2.7517447165337217e-07,3.1173135539575014e-07,1.0259909686283208e-06,9.649788808019366e-07,1.6768751720519506e-07,8.3327040556469e-07,6.854513685539132e-07,1.1225535700987169e-07,6.703440362798574e-07,3.761045377359551e-07,5.767720381300023e-07,5.757790972893417e-07,2.5601827928767307e-06,4.70478454417389e-07,9.216815328727536e-07,1.9007727587450065e-06,3.365668987953541e-07,6.167068704598933e-07,9.795024169534373e-08,1.2818862842323142e-06,1.4384580993009877e-07,1.1622901041619117e-07,1.364945632076342e-07,2.141792094789708e-07,1.708664996158405e-07
ProximalPhalanxTW,2.55879217547772e-06,2.96620351036836e-06,1.0466542335052509e-06,1.052614948093833e-06,4.786244289789465e-07,2.157669769076165e-06,1.6322676401614444e-06,3.8051180126785766e-06,1.983629772439599e-06,3.5136606584273977e-06,3.492490122880554e-06,1.6978278836177196e-06,1.3896758446207969e-06,2.148735120499623e-06,1.017149884319224e-06,6.756166044397105e-07,2.028038807111443e-06,3.3229559903702466e-07,8.10619951607805e-07,3.3795805620684405e-07,1.8229980014439209e-06,2.6294444523955463e-06,2.951004944407032e-06,7.206185728136916e-07,3.451375505392207e-06,5.677331387232698e-07,9.500961937192188e-07,7.095922569533286e-07,2.518294763831364e-07,8.136020710480807e-07
RefrigerationDevices,5.796502136945492e-06,6.874195605632849e-06,4.806106062460458e-06,7.912333785498049e-06,1.20618342407397e-05,4.052696567669045e-06,7.300178822333692e-06,6.81315032124985e-06,6.932388259883737e-06,3.822809503617464e-06,1.0398395716038069e-05,1.05271728898515e-05,3.703373749885941e-06,4.495828306971816e-06,1.0374228622822557e-05,8.700848411535844e-06,9.412418876308948e-06,1.2572108062158804e-05,1.0389368071628269e-05,3.897213900927454e-06,3.3555745631019818e-06,4.4405182961781975e-06,2.3142290501709795e-06,7.236270903376862e-06,1.0295011634298136e-05,2.57330952990742e-06,2.117456460837275e-06,2.456956508467556e-06,2.850813416443998e-06,1.8631460534379585e-06
ScreenType,1.4324036783364136e-05,2.348662201256957e-05,2.5035527869476937e-05,1.730578878778033e-05,2.2853255359223112e-05,8.48859144753078e-06,2.167348065995612e-05,2.06699114642106e-05,1.3076728464511689e-05,2.047404086624737e-05,8.85085955815157e-06,1.0923465197265614e-05,5.745624548580963e-06,3.116956941084936e-05,2.5297100364696234e-05,1.778385012585204e-05,1.945121221069712e-05,1.4508013919112273e-05,1.0405978173366748e-05,1.883287222881336e-05,1.6381793102482334e-05,2.04369116545422e-05,1.7504928109701723e-05,1.865315789473243e-05,1.0040265806310344e-05,1.0143683539354242e-05,7.00515738571994e-06,5.687213160854299e-06,6.858908363938099e-06,8.027144758671056e-06
ShapeletSim,1.7881392366803084e-08,1.7881392366803084e-08,5.9604641222676954e-09,4.172324707951702e-08,5.066392532171449e-07,2.7167134248884395e-05,4.7683712978141583e-08,3.206722340109991e-06,1.555677954456769e-06,5.9604641222676954e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802318834981644e-08,5.781648724223487e-07,0.0,0.0,0.0
ShapesAll,3.52845131601498e-06,3.4576696634758264e-06,6.214743279997492e-06,4.523453753790818e-06,6.746397502865875e-06,4.432297828316223e-06,2.71847079602594e-06,8.813080057734624e-06,2.913372554758098e-06,2.413678430457366e-06,4.11065684602363e-06,7.396956789307296e-06,5.094863809063099e-06,4.164399797446095e-06,4.870859811489936e-06,2.0388056327647064e-06,3.343690650581266e-06,3.278895064795506e-06,4.862142304773442e-06,8.727681233722251e-06,4.719579010270536e-06,3.383736384421354e-06,5.096168024465442e-06,6.503217719000531e-06,4.897814960713731e-06,2.6488175990380114e-06,2.179496505050338e-06,2.8981605737499194e-06,2.0665779629780445e-06,2.81288134829083e-06
SmallKitchenAppliances,0.020547404885292,0.019196581095457,0.0179006084799766,0.0223863329738378,0.0185500048100948,0.0188724473118782,0.0203326921910047,0.0199385434389114,0.0196793768554925,0.0217818114906549,0.0002820377121679,0.0003251802409067,0.0002771392755676,0.0023063954431563,0.0025698815006762,8.053234341787174e-05,0.0001466591784264,0.0003295961359981,9.53980052145198e-05,0.0037545193918049,0.0001057192275766,0.0004234567750245,0.0002884801942855,0.0001267416373593,8.934553625294939e-05,0.0187543760985136,0.0191622655838727,0.0005191003438085,0.000194211010239,0.0001116289495257
SonyAIBORobotSurface1,1.668929883180681e-07,0.0,1.311302071371756e-07,0.0,0.0,0.0,0.0,1.1920927533992653e-07,5.364417532405241e-08,4.7683712978141583e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9802318834981644e-08,3.5762784733606174e-08,0.0,0.0,0.0
SonyAIBORobotSurface2,0.0,0.0,0.0,1.3245475827261544e-08,4.4151584610574446e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StarLightCurves,4.135352185130614e-07,1.4499087228614371e-06,6.979607860557735e-07,4.954296173309558e-07,1.1170894822498667e-06,1.0940814263449283e-06,5.512190455192467e-07,1.3561988225774255e-06,1.4232106195777303e-06,5.595603624897194e-07,5.49430239971116e-07,6.866371222713497e-07,5.006770038562536e-07,1.260610929421091e-06,7.873649678913353e-07,8.768903967393271e-07,6.371675453920034e-07,6.211950562828861e-07,6.666122089882265e-07,7.736591669527115e-07,7.864128974688356e-07,8.941680675889074e-07,9.323263157057228e-07,8.967984967966913e-07,9.93000639937236e-07,3.2722792298045533e-07,2.940884655799892e-07,3.169763829191652e-07,3.213870058971225e-07,3.625140720942001e-07
