metric,value
model,seanet_inputgate_attnmax__sea_mstcn_sep_inputgate__sea_attention_max
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.858
webtraffic_ndcg,0.6997
params,58102
model_size_mb,1.489
