metric,value
model,seanet_slim_adaptive__mstcn_sep_adaptive_classwise
millet85_datasets,0
overall_ucr_datasets,0
webtraffic_acc,0.93
webtraffic_ndcg,0.7928
params,57590
model_size_mb,1.485
